time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644102900,415.22,415.1,415.16,66.4,27562.47,415.1,multiply,BTC
1644102840,415.28,415.11,415.14,49.02,20350.9,415.16,multiply,BTC
1644102780,415.23,415.06,415.09,111.19,46159.74,415.14,multiply,BTC
1644102720,415.09,414.84,415.1,127.45,52903.32,415.09,multiply,BTC
1644102660,415.27,415.1,415.13,40.95,16998.44,415.1,multiply,BTC
1644102600,415.44,415.28,415.44,33.37,13858.07,415.28,direct,
1644102540,415.38,415.26,415.23,49.23,20447.3,415.34,multiply,BTC
1644102480,415.31,415.15,415.19,33.6,13940.31,415.29,direct,
1644102420,415.1,414.94,414.96,93.42,38774.93,415.06,multiply,BTC
1644102360,415.27,414.63,415.27,124.17,51522.32,415.07,direct,
1644102300,415.5,415.19,415.41,30.32,12593.44,415.27,direct,
1644102240,415.41,415.06,415.07,42.8,17777.78,415.41,direct,
1644102180,415.24,415.07,415.2,44.38,18425.4,415.07,direct,
1644102120,415.3,415.26,415.17,153.91,63911.99,415.26,multiply,BTC
1644102060,415.25,414.88,414.58,247.44,102729.07,415.17,multiply,BTC
1644102000,414.48,414.33,414.33,39.87,16522.38,414.48,direct,
1644101940,414.51,414.3,414.29,180.76,74926.81,414.51,multiply,BTC
1644101880,414.33,414.21,414.25,108.48,44942.07,414.29,multiply,BTC
1644101820,414.25,414.13,414.16,93.44,38707.83,414.25,multiply,BTC
1644101760,414.24,414.04,414.05,132.16,54735.6,414.16,multiply,BTC
1644101700,414.19,413.35,413.35,97.55,40378.48,414.19,direct,
1644101640,413.63,413.42,413.46,52.98,21914.27,413.63,multiply,BTC
1644101580,413.55,413.42,413.61,58.6,24229.02,413.46,multiply,BTC
1644101520,413.61,413.49,413.61,57.55,23803.51,413.61,multiply,BTC
1644101460,413.61,413.45,413.66,36.16,14956.21,413.61,multiply,BTC
