time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644102900,41641.27,41631.62,41636.25,4.251,177007.97,41638.83,direct,
1644102840,41636.33,41621.33,41626.68,4.092,170329.03,41636.25,direct,
1644102780,41630.83,41611.55,41613.11,4.326,180032.35,41626.68,direct,
1644102720,41639.31,41611.89,41639.31,3.983,165778.47,41613.11,direct,
1644102660,41639.39,41622.12,41625.57,3.725,155058.07,41639.31,direct,
1644102600,41644.28,41625.57,41642.49,3.706,154288.78,41625.57,direct,
1644102540,41647.0,41630.96,41635.2,1.611,67097.84,41642.49,direct,
1644102480,41638.14,41613.53,41622.57,4.319,179763.96,41635.2,direct,
1644102420,41636.11,41605.56,41620.59,4.252,176983.07,41622.57,direct,
1644102360,41640.06,41566.88,41633.12,13.05,542961.37,41620.59,direct,
1644102300,41660.26,41632.96,41659.33,8.214,342037.11,41633.12,direct,
1644102240,41663.95,41652.99,41655.01,3.206,133554.73,41659.33,direct,
1644102180,41675.94,41649.47,41671.41,4.057,169008.46,41655.01,direct,
1644102120,41671.41,41658.4,41658.4,1.948,81152.79,41671.41,direct,
1644102060,41660.83,41627.91,41629.03,5.998,249805.56,41658.4,direct,
1644102000,41629.03,41603.68,41617.46,11.3,470143.79,41629.03,direct,
1644101940,41617.46,41605.77,41607.81,2.791,116131.35,41617.46,direct,
1644101880,41609.63,41606.29,41608.41,2.359,98159.4,41607.81,direct,
1644101820,41610.46,41606.55,41607.56,3.054,127080.16,41608.41,direct,
1644101760,41611.0,41607.04,41609.01,10.21,424712.33,41607.56,direct,
1644101700,41610.45,41596.13,41596.23,3.049,126887.62,41609.01,direct,
1644101640,41600.47,41589.44,41596.03,5.469,227484.27,41596.23,direct,
1644101580,41603.9,41592.85,41602.73,2.898,120554.98,41596.03,direct,
1644101520,41617.97,41597.93,41610.86,6.746,280666.31,41602.73,direct,
1644101460,41632.81,41605.85,41632.81,12.11,503924.25,41610.86,direct,
