time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644100020,0.6682,0.6681,0.6682,14890.43,9947.27,0.6681,direct,
1644099960,0.6686,0.6682,0.6686,46521.24,31079.81,0.6682,direct,
1644099900,0.6687,0.6686,0.6687,19129.76,12787.1,0.6686,direct,
1644099840,0.6687,0.6685,0.6686,22950.81,15347.94,0.6687,direct,
1644099780,0.6686,0.6685,0.6685,4049.33,2703.02,0.6686,direct,
1644099720,0.6685,0.6685,0.6685,980.09,655.56,0.6685,direct,
1644099660,0.6687,0.6685,0.6687,8396.4,5612.99,0.6685,direct,
1644099600,0.6689,0.6687,0.6688,9383.57,6274.32,0.6687,direct,
1644099540,0.6691,0.6688,0.669,1263.69,845.17,0.6688,direct,
1644099480,0.6694,0.669,0.6694,32005.98,21415.71,0.669,direct,
1644099420,0.6694,0.6692,0.6692,2042.43,1367.04,0.6694,direct,
1644099360,0.6692,0.6691,0.6691,444.28,297.44,0.6692,direct,
1644099300,0.6692,0.669,0.669,31216.7,20894.99,0.6691,direct,
1644099240,0.669,0.6688,0.6688,2167.06,1449.73,0.669,direct,
1644099180,0.6688,0.6687,0.6688,25899.84,17325.78,0.6688,direct,
1644099120,0.6688,0.6687,0.6688,10461.0,6996.51,0.6688,direct,
1644099060,0.6689,0.6687,0.6689,1606.51,1074.48,0.6688,direct,
1644099000,0.6689,0.6687,0.6687,12992.82,8689.09,0.6689,direct,
1644098940,0.6696,0.6686,0.6696,30524.18,20415.8,0.6687,direct,
1644098880,0.67,0.6696,0.6699,51404.51,34432.53,0.6696,direct,
1644098820,0.6699,0.6697,0.6697,3215.62,2155.5,0.6699,direct,
1644098760,0.6698,0.6697,0.6698,16069.81,10765.37,0.6697,direct,
1644098700,0.6698,0.6696,0.6697,39485.67,26453.83,0.6698,direct,
1644098640,0.6697,0.6696,0.6697,1228.0,822.37,0.6697,direct,
1644098580,0.6697,0.6693,0.6694,38587.52,25852.73,0.6697,direct,
