time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644097140,1.001,1.001,1.001,4.875,4.879,1.001,invert_divide,BTC
1644097080,1.001,1.001,1.001,4.157,4.161,1.001,invert_divide,BTC
1644097020,1.001,1.0,1.001,73.83,73.88,1.001,invert_divide,ETH
1644096960,1.001,1.001,1.001,2.865,2.867,1.001,invert_divide,BTC
1644096900,1.001,1.001,1.001,6.611,6.617,1.001,invert_divide,BTC
1644096840,1.001,1.0,1.001,6.426,6.432,1.001,invert_divide,BTC
1644096780,1.001,0.9999,1.001,6.547,6.552,1.001,invert_divide,BTC
1644096720,1.002,1.0,1.001,6.842,6.846,1.001,invert_divide,BTC
1644096660,1.002,1.001,1.001,14.66,14.67,1.001,invert_divide,BTC
1644096600,1.002,0.9997,1.001,43.74,43.77,1.001,invert_divide,BTC
1644096540,1.001,1.0,1.001,105.29,105.42,1.001,invert_divide,ETH
1644096480,1.001,1.001,1.001,6.571,6.577,1.001,invert_divide,BTC
1644096420,1.001,1.001,1.001,2.034,2.036,1.001,invert_divide,BTC
1644096360,1.001,1.001,1.001,3.208,3.211,1.001,invert_divide,BTC
1644096300,1.001,1.0,1.001,81.81,81.87,1.001,invert_divide,ETH
1644096240,1.001,1.0,1.001,49.15,49.19,1.001,invert_divide,ETH
1644096180,1.001,1.001,1.001,5.805,5.81,1.001,invert_divide,BTC
1644096120,1.001,1.001,1.001,6.926,6.931,1.001,invert_divide,BTC
1644096060,1.001,1.001,1.001,4.313,4.316,1.001,invert_divide,BTC
1644096000,1.001,1.001,1.001,9.624,9.631,1.001,invert_divide,BTC
1644095940,1.001,1.0,1.001,14.56,14.57,1.001,invert_divide,BTC
1644095880,1.001,1.001,1.001,15.03,15.04,1.001,invert_divide,BTC
1644095820,1.003,1.001,1.001,406.53,406.81,1.001,invert_divide,ETH
1644095760,1.001,1.001,1.001,29.74,29.76,1.001,invert_divide,BTC
1644095700,1.001,1.0,1.001,12.11,12.12,1.001,invert_divide,BTC
