time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644091380,1.114,1.112,1.113,37042.77,41214.03,1.114,direct,
1644091320,1.116,1.113,1.116,78861.42,87883.24,1.113,direct,
1644091260,1.118,1.115,1.118,175303.26,195699.37,1.116,direct,
1644091200,1.118,1.115,1.115,120013.88,134060.5,1.118,direct,
1644091140,1.116,1.114,1.116,30879.91,34419.87,1.115,direct,
1644091080,1.116,1.114,1.114,16891.37,18829.28,1.116,direct,
1644091020,1.115,1.114,1.115,34854.77,38836.32,1.114,direct,
1644090960,1.116,1.115,1.116,17591.47,19617.32,1.115,direct,
1644090900,1.117,1.116,1.116,27628.85,30834.86,1.116,direct,
1644090840,1.117,1.116,1.116,45685.5,50988.19,1.116,direct,
1644090780,1.116,1.115,1.115,43776.7,48824.76,1.116,direct,
1644090720,1.115,1.114,1.115,22095.55,24627.03,1.115,direct,
1644090660,1.115,1.114,1.115,16944.38,18885.83,1.115,direct,
1644090600,1.116,1.115,1.115,65267.66,72781.07,1.115,direct,
1644090540,1.118,1.115,1.118,92141.46,102736.81,1.115,direct,
1644090480,1.119,1.117,1.119,12524.18,13999.18,1.118,direct,
1644090420,1.119,1.118,1.118,16206.04,18125.11,1.119,direct,
1644090360,1.119,1.118,1.119,61910.3,69252.92,1.118,direct,
1644090300,1.119,1.118,1.118,8185.57,9153.64,1.119,direct,
1644090240,1.118,1.118,1.118,18888.06,21116.14,1.118,direct,
1644090180,1.119,1.118,1.118,26696.88,29854.95,1.118,direct,
1644090120,1.119,1.118,1.118,18561.87,20760.02,1.118,direct,
1644090060,1.119,1.118,1.119,19341.98,21632.38,1.118,direct,
1644090000,1.119,1.118,1.119,31557.5,35305.39,1.119,direct,
1644089940,1.12,1.119,1.12,17370.85,19437.21,1.119,direct,
