time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644088500,0.1477,0.1476,0.1477,41619.59,6143.24,0.1477,direct,
1644088440,0.1478,0.1477,0.1478,61628.7,9102.35,0.1477,direct,
1644088380,0.1478,0.1476,0.1476,191605.16,28285.24,0.1478,direct,
1644088320,0.1478,0.1475,0.1478,247467.97,36583.23,0.1476,direct,
1644088260,0.1478,0.1477,0.1477,60913.58,8998.18,0.1478,direct,
1644088200,0.1479,0.1477,0.1477,9772.1,1444.23,0.1477,direct,
1644088140,0.1478,0.1477,0.1478,22836.6,3373.9,0.1477,direct,
1644088080,0.1479,0.1477,0.1477,92609.53,13686.7,0.1478,direct,
1644088020,0.1479,0.1477,0.1478,44560.1,6584.68,0.1477,direct,
1644087960,0.1478,0.1477,0.1477,25899.37,3826.36,0.1478,direct,
1644087900,0.1479,0.1477,0.1479,10457.96,1545.65,0.1477,direct,
1644087840,0.1479,0.1477,0.1477,83561.3,12347.22,0.1479,direct,
1644087780,0.1478,0.1477,0.1478,23575.52,3482.56,0.1477,direct,
1644087720,0.1479,0.1478,0.1479,88676.3,13106.18,0.1478,direct,
1644087660,0.148,0.1478,0.148,61318.8,9064.16,0.1479,direct,
1644087600,0.148,0.1478,0.148,105863.23,15657.96,0.148,direct,
1644087540,0.148,0.1479,0.1479,39460.2,5836.15,0.148,direct,
1644087480,0.148,0.1478,0.1479,79714.96,11784.74,0.1479,direct,
1644087420,0.1481,0.1478,0.1478,289196.02,42780.52,0.1479,direct,
1644087360,0.1479,0.1478,0.1478,14556.81,2151.44,0.1478,direct,
1644087300,0.1479,0.1477,0.1478,5881.43,869.28,0.1478,direct,
1644087240,0.1478,0.1476,0.1478,108828.71,16082.09,0.1478,direct,
1644087180,0.1478,0.1476,0.1476,333755.08,49318.11,0.1478,direct,
1644087120,0.1478,0.1476,0.1477,20767.28,3067.1,0.1476,direct,
1644087060,0.1477,0.1476,0.1476,49925.6,7372.46,0.1477,direct,
