time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644085620,0.2136,0.2134,0.2135,18430.64,3933.96,0.2135,direct,
1644085560,0.2136,0.2133,0.2135,37358.77,7971.71,0.2135,direct,
1644085500,0.2138,0.2135,0.2138,13527.23,2889.18,0.2135,direct,
1644085440,0.2139,0.2136,0.2138,48862.02,10442.06,0.2138,direct,
1644085380,0.2142,0.2138,0.2138,84305.12,18036.05,0.2138,direct,
1644085320,0.2139,0.2135,0.2135,48049.5,10264.44,0.2138,direct,
1644085260,0.2136,0.2133,0.2134,33941.25,7245.49,0.2135,direct,
1644085200,0.2135,0.2133,0.2134,123020.26,26245.51,0.2134,direct,
1644085140,0.2135,0.2132,0.2134,26335.54,5619.86,0.2134,direct,
1644085080,0.2136,0.2133,0.2136,19368.8,4133.16,0.2134,direct,
1644085020,0.2136,0.2133,0.2133,14830.45,3166.06,0.2136,direct,
1644084960,0.2137,0.2133,0.2136,24830.85,5303.42,0.2133,direct,
1644084900,0.2137,0.2135,0.2135,20578.87,4396.02,0.2136,direct,
1644084840,0.2137,0.2134,0.2134,41657.0,8897.24,0.2135,direct,
1644084780,0.2137,0.2134,0.2137,32218.73,6879.82,0.2134,direct,
1644084720,0.2138,0.2135,0.2135,28600.7,6110.71,0.2137,direct,
1644084660,0.2137,0.2134,0.2134,87230.7,18629.69,0.2135,direct,
1644084600,0.2137,0.2132,0.2136,70979.27,15150.96,0.2134,direct,
1644084540,0.2138,0.2135,0.2137,110863.88,23701.89,0.2136,direct,
1644084480,0.2137,0.213,0.213,140244.21,29941.02,0.2137,direct,
1644084420,0.2132,0.213,0.2132,50110.24,10674.34,0.213,direct,
1644084360,0.2132,0.2131,0.2132,9840.91,2097.89,0.2132,direct,
1644084300,0.2133,0.213,0.2132,23817.76,5076.26,0.2132,direct,
1644084240,0.2134,0.2131,0.2132,174733.64,37253.96,0.2132,direct,
1644084180,0.2132,0.213,0.2131,52191.81,11121.72,0.2132,direct,
