time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644082740,3006.35,3001.19,3005.54,235.01,706159.79,3001.32,direct,
1644082680,3006.82,3005.24,3006.16,88.37,265619.66,3005.54,direct,
1644082620,3007.44,3005.01,3005.01,133.78,402225.21,3006.16,direct,
1644082560,3006.06,3003.29,3003.29,187.71,564136.58,3005.01,direct,
1644082500,3004.06,3001.58,3002.56,162.33,487435.15,3003.29,direct,
1644082440,3005.83,3000.41,3005.83,257.49,773075.42,3002.56,direct,
1644082380,3008.11,3002.87,3003.61,783.33,2354216.36,3005.83,direct,
1644082320,3005.37,2998.65,2998.65,430.82,1293349.5,3003.61,direct,
1644082260,2999.02,2993.51,2993.51,172.25,516368.19,2998.65,direct,
1644082200,2993.87,2991.23,2993.77,189.1,565714.32,2993.51,direct,
1644082140,2995.02,2990.23,2990.24,164.54,492500.52,2993.77,direct,
1644082080,2993.92,2987.07,2987.68,192.25,575173.93,2990.24,direct,
1644082020,2992.35,2984.91,2992.32,648.5,1938657.14,2987.68,direct,
1644081960,2996.14,2992.07,2994.25,391.26,1171658.7,2992.32,direct,
1644081900,2998.97,2993.03,2998.45,498.21,1492064.06,2994.25,direct,
1644081840,2998.45,2992.79,2992.98,798.28,2392570.46,2998.45,direct,
1644081780,2995.57,2990.76,2991.74,633.02,1894914.11,2992.98,direct,
1644081720,2992.01,2986.8,2986.94,643.87,1925607.73,2991.74,direct,
1644081660,2988.42,2986.6,2987.14,194.17,580102.66,2986.94,direct,
1644081600,2987.97,2981.95,2981.95,379.75,1133586.0,2987.14,direct,
1644081540,2985.42,2981.41,2985.21,335.61,1001157.13,2981.95,direct,
1644081480,2987.3,2981.22,2982.37,956.32,2855112.25,2985.21,direct,
1644081420,2983.49,2972.45,2974.27,609.92,1817062.68,2982.37,direct,
1644081360,2974.54,2963.18,2966.65,1367.22,4057789.27,2974.27,direct,
1644081300,2973.01,2965.56,2972.41,1020.35,3028959.35,2966.65,direct,
