time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644082740,121.63,121.51,121.59,237.81,28907.56,121.52,direct,
1644082680,121.58,121.54,121.56,117.54,14285.86,121.54,multiply,BTC
1644082620,121.66,121.55,121.56,209.73,25501.48,121.56,direct,
1644082560,121.62,121.5,121.51,286.43,34811.06,121.56,direct,
1644082500,121.6,121.49,121.57,122.61,14904.18,121.51,direct,
1644082440,121.6,121.48,121.5,89.75,10906.97,121.57,direct,
1644082380,121.58,121.47,121.49,248.94,30253.91,121.5,direct,
1644082320,121.57,121.22,121.25,1611.54,195775.98,121.49,direct,
1644082260,121.26,120.97,120.97,441.61,53556.88,121.25,direct,
1644082200,121.0,120.91,120.98,114.88,13901.14,120.97,direct,
1644082140,121.03,120.81,120.85,139.7,16896.43,120.98,direct,
1644082080,120.85,120.77,120.66,887.91,107266.45,120.81,multiply,BTC
1644082020,120.86,120.56,120.86,171.79,20740.75,120.66,direct,
1644081960,120.95,120.81,120.85,432.85,52320.32,120.86,direct,
1644081900,120.95,120.79,120.91,115.3,13932.77,120.85,direct,
1644081840,120.91,120.71,120.71,194.64,23526.75,120.91,direct,
1644081780,120.88,120.54,120.54,561.23,67789.91,120.71,direct,
1644081720,120.54,120.37,120.37,106.58,12842.2,120.54,direct,
1644081660,120.47,120.36,120.42,344.14,41455.94,120.37,direct,
1644081600,120.45,120.13,120.17,571.79,68832.69,120.42,direct,
1644081540,120.2,120.11,120.14,255.91,30749.02,120.17,direct,
1644081480,120.27,120.01,120.02,355.36,42704.93,120.14,direct,
1644081420,120.0,119.71,119.62,855.52,102627.67,119.96,multiply,BTC
1644081360,119.67,119.2,119.34,1287.36,153583.92,119.63,direct,
1644081300,119.48,119.32,119.56,1262.85,150835.46,119.44,multiply,BTC
