time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644076980,167.19,167.1,167.36,20.26,3386.35,167.14,multiply,BTC
1644076920,167.34,167.31,167.22,49.7,8315.15,167.31,multiply,ETH
1644076860,167.3,167.17,167.2,217.9,36444.58,167.25,multiply,BTC
1644076800,167.2,167.03,167.19,68.6,11469.91,167.2,multiply,BTC
1644076740,167.44,167.35,167.39,23.04,3856.38,167.38,multiply,ETH
1644076680,167.17,167.08,166.96,48.5,8107.65,167.17,multiply,BTC
1644076620,167.23,167.14,167.01,67.13,11222.06,167.17,multiply,ETH
1644076560,167.01,166.98,167.0,35.33,5900.43,167.01,multiply,ETH
1644076500,167.02,166.94,166.85,42.72,7133.5,166.98,multiply,BTC
1644076440,167.02,166.96,166.88,210.66,35172.54,166.96,multiply,ETH
1644076380,166.94,166.86,166.87,103.15,17219.96,166.94,multiply,BTC
1644076320,166.91,166.83,166.91,65.86,10990.14,166.87,multiply,BTC
1644076260,166.95,166.91,167.05,46.5,7761.33,166.91,multiply,BTC
1644076200,167.0,166.88,167.32,15.68,2618.58,167.0,multiply,ETH
1644076140,167.32,167.26,167.25,19.83,3318.0,167.32,multiply,ETH
1644076080,167.25,167.16,167.19,3.264,545.9,167.25,multiply,ETH
1644076020,167.25,167.19,167.25,2.203,368.31,167.19,multiply,ETH
1644075960,167.2,167.16,167.06,10.05,1679.92,167.16,multiply,BTC
1644075900,167.1,167.06,167.31,92.37,15431.62,167.06,multiply,BTC
1644075840,167.35,167.31,167.49,46.76,7823.25,167.31,multiply,BTC
1644075780,167.49,167.49,167.38,14.49,2426.95,167.49,multiply,BTC
1644075720,167.57,167.38,167.57,100.0,16747.92,167.42,direct,
1644075660,167.68,167.56,167.97,90.25,15122.18,167.56,multiply,ETH
1644075600,167.76,167.59,167.59,10.37,1739.02,167.76,direct,
1644075540,168.02,167.78,167.78,114.02,19157.66,168.02,multiply,ETH
