,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,Unnamed: 0
0,1644077580,1.146,1.146,1.146,0.0,0.0,1.146,direct,,
1,1644077520,1.146,1.145,1.146,75560.51,86527.84,1.146,direct,,
2,1644077460,1.146,1.146,1.146,72119.22,82642.39,1.146,direct,,
3,1644077400,1.147,1.145,1.146,36903.39,42281.92,1.146,direct,,
4,1644077340,1.147,1.146,1.147,47596.76,54551.83,1.146,direct,,
5,1644077280,1.147,1.146,1.146,33233.54,38104.28,1.147,direct,,
6,1644077220,1.147,1.145,1.147,92398.45,105872.63,1.146,direct,,
7,1644077160,1.148,1.147,1.148,17601.6,20190.73,1.147,direct,,
8,1644077100,1.148,1.147,1.147,17753.82,20367.09,1.148,direct,,
9,1644077040,1.149,1.146,1.149,123432.84,141518.82,1.147,direct,,
10,1644076980,1.151,1.149,1.151,44941.56,51683.79,1.149,direct,,
11,1644076920,1.153,1.15,1.15,168428.7,194028.2,1.151,direct,,
12,1644076860,1.151,1.149,1.151,92366.89,106218.76,1.15,direct,,
13,1644076800,1.153,1.15,1.152,63339.85,72921.73,1.151,direct,,
14,1644076740,1.152,1.151,1.151,11436.86,13168.72,1.152,direct,,
15,1644076680,1.152,1.151,1.151,18113.54,20856.71,1.151,direct,,
16,1644076620,1.151,1.15,1.15,53665.34,61740.02,1.151,direct,,
17,1644076560,1.15,1.15,1.15,12415.32,14283.79,1.15,direct,,
18,1644076500,1.15,1.149,1.149,115595.57,132877.19,1.15,direct,,
19,1644076440,1.15,1.149,1.149,59409.16,68261.33,1.149,direct,,
20,1644076380,1.149,1.149,1.149,6715.52,7716.49,1.149,direct,,
21,1644076320,1.15,1.149,1.149,25265.05,29030.51,1.149,direct,,
22,1644076260,1.15,1.148,1.149,46989.05,53985.31,1.149,direct,,
23,1644076200,1.15,1.148,1.15,38530.87,44270.78,1.149,direct,,
24,1644076140,1.151,1.15,1.151,119346.4,137239.81,1.15,direct,,
25,1644076080,1.152,1.151,1.152,49819.74,57372.09,1.151,direct,,
26,1644076020,1.153,1.152,1.152,22574.8,26008.22,1.152,direct,,
27,1644075960,1.153,1.151,1.152,85526.88,98553.35,1.152,direct,,
28,1644075900,1.152,1.15,1.152,56033.23,64521.0,1.152,direct,,
29,1644075840,1.153,1.152,1.152,25427.48,29298.63,1.152,direct,,
30,1644075780,1.153,1.152,1.152,54287.03,62558.91,1.152,direct,,
31,1644075720,1.153,1.152,1.152,72249.18,83245.94,1.152,direct,,
32,1644075660,1.155,1.151,1.155,119950.0,138253.93,1.152,direct,,
33,1644075600,1.155,1.153,1.154,74620.83,86112.5,1.155,direct,,
34,1644075540,1.154,1.153,1.153,116211.35,134070.7,1.154,direct,,
35,1644075480,1.154,1.153,1.153,70590.04,81401.6,1.153,direct,,
36,1644075420,1.153,1.152,1.152,55393.51,63857.15,1.153,direct,,
37,1644075360,1.153,1.152,1.152,27137.96,31270.33,1.152,direct,,
38,1644075300,1.152,1.151,1.151,22077.2,25426.34,1.152,direct,,
39,1644075240,1.152,1.151,1.151,128289.76,147778.87,1.151,direct,,
40,1644075180,1.153,1.151,1.152,151981.8,175147.4,1.151,direct,,
41,1644075120,1.152,1.151,1.152,31777.8,36585.12,1.152,direct,,
42,1644075060,1.152,1.15,1.15,109985.96,126641.66,1.152,direct,,
43,1644075000,1.15,1.149,1.149,35114.79,40377.0,1.15,direct,,
44,1644074940,1.149,1.148,1.148,56478.4,64890.17,1.149,direct,,
45,1644074880,1.149,1.147,1.148,29070.66,33371.62,1.148,direct,,
46,1644074820,1.148,1.147,1.148,25379.88,29127.94,1.148,direct,,
47,1644074760,1.148,1.146,1.148,161992.16,185796.82,1.148,direct,,
48,1644074700,1.149,1.146,1.146,50446.96,57862.47,1.148,direct,,
49,1644074640,1.147,1.146,1.147,32663.08,37445.32,1.146,direct,,
50,1644074580,1.149,1.147,1.147,108362.97,124357.82,1.147,direct,,
51,1644074520,1.152,1.146,1.151,280375.94,321821.36,1.147,direct,,
52,1644074460,1.152,1.15,1.151,92063.7,106005.73,1.151,direct,,
53,1644074400,1.152,1.149,1.152,277461.8,319232.31,1.151,direct,,
54,1644074340,1.152,1.149,1.149,142535.11,163974.06,1.152,direct,,
55,1644074280,1.15,1.147,1.147,220066.99,252834.1,1.149,direct,,
56,1644074220,1.148,1.147,1.147,55819.07,64054.88,1.147,direct,,
57,1644074160,1.148,1.145,1.145,258501.74,296466.45,1.147,direct,,
58,1644074100,1.145,1.144,1.145,85478.75,97856.91,1.145,direct,,
59,1644074040,1.146,1.144,1.145,75293.47,86213.83,1.145,direct,,
