time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1644074100,420.56,420.14,420.07,47.14,19825.09,420.56,multiply,BTC
1644074040,420.46,420.16,420.16,31.63,13292.81,420.31,direct,
1644073980,420.26,419.81,420.26,86.65,36402.62,420.16,direct,
1644073920,420.94,420.26,420.45,224.1,94272.13,420.26,direct,
1644073860,420.64,420.64,420.53,221.86,93322.91,420.64,multiply,BTC
1644073800,420.53,420.12,419.9,336.24,141400.22,420.53,multiply,BTC
1644073740,419.9,419.9,419.39,374.86,157405.39,419.9,multiply,BTC
1644073680,419.31,418.27,418.28,343.99,144040.76,419.19,direct,
1644073620,418.78,418.78,418.84,293.08,122735.79,418.78,multiply,BTC
1644073560,418.84,418.84,418.9,295.3,123682.24,418.84,multiply,BTC
1644073500,418.9,418.49,419.1,265.35,111155.31,418.9,multiply,BTC
1644073440,418.71,418.09,418.26,119.03,49825.49,418.61,direct,
1644073380,419.13,418.71,418.69,1112.23,465703.33,418.71,multiply,BTC
1644073320,419.04,417.6,419.04,309.59,129413.36,418.28,direct,
1644073260,419.48,419.06,419.86,170.32,71375.14,419.06,multiply,BTC
1644073200,420.27,419.22,420.27,245.87,103193.26,419.5,direct,
1644073140,420.43,419.91,420.3,268.15,112698.13,420.27,direct,
1644073080,421.69,420.3,421.67,196.54,82677.32,420.3,direct,
1644073020,422.45,421.58,422.38,151.87,64097.67,421.67,direct,
1644072960,422.94,421.86,421.86,285.08,120472.24,422.38,direct,
1644072900,422.23,421.61,421.61,140.54,59284.47,421.86,direct,
1644072840,421.61,420.88,420.88,151.01,63634.31,421.61,direct,
1644072780,420.95,420.95,420.61,54.09,22769.24,420.95,multiply,BTC
1644072720,420.61,420.61,420.43,141.98,59718.82,420.61,multiply,BTC
1644072660,420.43,420.43,420.35,182.46,76711.04,420.43,multiply,BTC
1644072600,420.35,420.35,420.27,220.67,92757.54,420.35,multiply,BTC
1644072540,420.27,420.27,420.25,191.1,80312.99,420.27,multiply,BTC
1644072480,420.25,420.25,420.21,104.62,43966.84,420.25,multiply,BTC
1644072420,420.21,419.79,419.83,47.68,20035.54,420.21,multiply,BTC
1644072360,420.25,419.83,420.26,155.5,65284.1,419.83,multiply,BTC
1644072300,420.11,419.83,419.83,66.23,27813.98,419.95,direct,
1644072240,420.24,419.82,419.93,53.56,22507.93,420.24,multiply,BTC
1644072180,419.93,419.93,419.87,81.05,34035.23,419.93,multiply,BTC
1644072120,419.87,419.87,419.88,49.04,20590.51,419.87,multiply,BTC
1644072060,419.88,419.88,419.88,47.82,20078.85,419.88,multiply,BTC
1644072000,419.88,419.88,419.85,48.27,20267.54,419.88,multiply,BTC
1644071940,420.03,419.9,420.03,19.95,8378.6,420.02,direct,
1644071880,420.07,419.96,420.07,34.76,14598.3,420.03,direct,
1644071820,420.43,420.07,420.43,30.47,12801.75,420.07,direct,
1644071760,420.26,419.85,419.94,110.02,46237.45,420.26,multiply,BTC
1644071700,420.35,419.94,419.96,117.9,49510.85,419.94,multiply,BTC
1644071640,420.53,420.14,420.18,55.38,23269.2,420.53,direct,
1644071580,420.25,419.95,420.13,71.76,30149.83,420.18,direct,
1644071520,420.13,419.19,419.19,155.54,65300.71,420.13,direct,
1644071460,419.24,418.78,418.78,75.82,31779.01,419.19,direct,
1644071400,419.06,418.74,419.01,196.92,82506.21,418.78,direct,
1644071340,419,419,419.22,286.49,120039.43,419,multiply,BTC
1644071280,419.22,419.22,419.19,367.55,154083.53,419.22,multiply,BTC
1644071220,419.19,419.19,419.05,308.77,129431.8,419.19,multiply,BTC
