,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,Unnamed: 0
0,1644077520,41627.14,41624.25,41624.25,0.0,0.0,41627.14,direct,,
1,1644077460,41641.47,41621.44,41634.03,7.155,297818.93,41624.25,direct,,
2,1644077400,41651.43,41614.23,41644.99,31.54,1312948.52,41634.03,direct,,
3,1644077340,41674.73,41642.79,41670.98,66.06,2751428.72,41644.99,direct,,
4,1644077280,41679.48,41643.34,41644.18,5.048,210329.09,41670.98,direct,,
5,1644077220,41669.99,41624.18,41668.58,24.23,1009059.57,41644.18,direct,,
6,1644077160,41717.58,41666.05,41707.12,21.92,913884.31,41668.58,direct,,
7,1644077100,41717.23,41682.4,41684.16,7.699,321118.61,41707.12,direct,,
8,1644077040,41786.16,41664.54,41786.16,51.82,2160588.2,41684.16,direct,,
9,1644076980,41852.93,41786.08,41849.27,14.5,606327.81,41786.16,direct,,
10,1644076920,41882.2,41802.97,41802.97,61.47,2572626.58,41849.27,direct,,
11,1644076860,41803.69,41759.3,41779.08,33.58,1403443.73,41802.97,direct,,
12,1644076800,41864.36,41772.92,41807.97,25.11,1050124.95,41779.08,direct,,
13,1644076740,41814.99,41795.73,41802.44,9.404,393149.7,41807.97,direct,,
14,1644076680,41814.64,41770.95,41770.95,7.957,332597.07,41802.44,direct,,
15,1644076620,41772.92,41746.5,41747.24,9.218,384953.81,41770.95,direct,,
16,1644076560,41759.58,41743.61,41756.11,5.349,223324.57,41747.24,direct,,
17,1644076500,41758.45,41733.41,41734.56,7.199,300528.27,41756.11,direct,,
18,1644076440,41750.6,41729.57,41735.24,27.65,1153513.83,41734.56,direct,,
19,1644076380,41744.75,41732.58,41738.68,7.907,329999.14,41735.24,direct,,
20,1644076320,41768.06,41735.77,41748.43,14.73,615124.19,41738.68,direct,,
21,1644076260,41772.9,41714.2,41772.9,30.4,1268774.84,41748.43,direct,,
22,1644076200,41830.83,41772.9,41830.83,15.18,634499.66,41772.9,direct,,
23,1644076140,41832.22,41819.2,41821.76,10.04,419856.29,41830.83,direct,,
24,1644076080,41832.88,41806.29,41832.88,14.92,623800.43,41821.76,direct,,
25,1644076020,41853.92,41823.66,41830.77,8.471,354338.76,41832.88,direct,,
26,1644075960,41858.02,41794.37,41807.58,15.46,646466.71,41830.77,direct,,
27,1644075900,41863.77,41784.29,41858.0,27.69,1157928.29,41807.58,direct,,
28,1644075840,41894.86,41854.24,41893.75,20.54,860257.25,41858.0,direct,,
29,1644075780,41901.45,41860.62,41866.65,48.27,2022884.61,41893.75,direct,,
30,1644075720,41881.41,41848.43,41857.89,15.13,633296.02,41866.65,direct,,
31,1644075660,41921.86,41824.52,41919.55,48.18,2016872.32,41857.89,direct,,
32,1644075600,41927.14,41891.01,41891.24,38.93,1631700.53,41919.55,direct,,
33,1644075540,41912.75,41886.25,41909.91,41.48,1737973.8,41891.24,direct,,
34,1644075480,41917.1,41886.29,41889.29,20.18,845865.78,41909.91,direct,,
35,1644075420,41910.25,41878.02,41883.56,58.31,2443050.08,41889.29,direct,,
36,1644075360,41887.24,41860.11,41860.11,16.09,674076.18,41883.56,direct,,
37,1644075300,41860.11,41813.39,41818.37,9.224,385910.71,41860.11,direct,,
38,1644075240,41852.14,41818.37,41839.91,17.85,746874.62,41818.37,direct,,
39,1644075180,41880.69,41833.02,41837.76,24.73,1035307.33,41839.91,direct,,
40,1644075120,41837.89,41788.93,41816.14,18.53,774622.35,41837.76,direct,,
41,1644075060,41824.54,41776.5,41776.5,20.82,870244.11,41816.14,direct,,
42,1644075000,41776.5,41720.72,41731.86,13.65,569801.34,41776.5,direct,,
43,1644074940,41737.29,41703.36,41711.1,8.284,345617.1,41731.86,direct,,
44,1644074880,41717.46,41679.15,41711.8,8.971,374061.38,41711.1,direct,,
45,1644074820,41721.4,41668.31,41683.02,12.2,508733.34,41711.8,direct,,
46,1644074760,41690.03,41643.76,41690.03,30.72,1280073.84,41683.02,direct,,
47,1644074700,41718.46,41645.07,41645.49,16.06,669600.21,41690.03,direct,,
48,1644074640,41670.84,41635.98,41661.37,23.15,964046.2,41645.49,direct,,
49,1644074580,41739.01,41655.18,41678.96,33.18,1383215.26,41661.37,direct,,
50,1644074520,41868.64,41675.79,41863.42,117.78,4919456.14,41678.96,direct,,
51,1644074460,41866.74,41822.18,41825.14,35.91,1502802.41,41863.42,direct,,
52,1644074400,41830.46,41767.84,41830.43,26.21,1095542.06,41825.14,direct,,
53,1644074340,41851.68,41754.4,41761.8,67.65,2827792.83,41830.43,direct,,
54,1644074280,41773.93,41709.06,41709.06,23.89,997781.73,41761.8,direct,,
55,1644074220,41739.76,41697.57,41726.01,25.26,1053690.91,41709.06,direct,,
56,1644074160,41733.09,41639.37,41639.37,30.75,1282451.53,41726.01,direct,,
57,1644074100,41646.08,41628.34,41632.58,7.742,322365.08,41639.37,direct,,
58,1644074040,41645.55,41622.92,41626.28,8.254,343664.15,41632.58,direct,,
59,1644073980,41642.97,41603.28,41618.98,9.307,387455.85,41626.28,direct,,
60,1644073920,41678.17,41610.63,41647.4,35.39,1474158.78,41618.98,direct,,
61,1644073860,41664.96,41626.61,41636.99,9.31,387728.48,41647.4,direct,,
62,1644073800,41672.52,41574.7,41574.7,34.51,1436286.84,41636.99,direct,,
63,1644073740,41587.44,41514.29,41524.21,25.95,1078877.12,41574.7,direct,,
64,1644073680,41525.04,41462.27,41463.28,23.69,983009.27,41524.21,direct,,
65,1644073620,41468.91,41456.01,41468.9,10.65,441376.88,41463.28,direct,,
66,1644073560,41477.28,41464.15,41475.32,12.24,507656.28,41468.9,direct,,
67,1644073500,41509.69,41475.32,41495.39,36.56,1516933.17,41475.32,direct,,
68,1644073440,41495.39,41456.5,41456.57,27.95,1159258.78,41495.39,direct,,
69,1644073380,41462.01,41405.74,41413.38,13.5,559727.38,41456.57,direct,,
70,1644073320,41432.46,41373.65,41409.58,21.85,904405.19,41413.38,direct,,
71,1644073260,41468.6,41409.4,41447.21,22.83,945792.1,41409.58,direct,,
