,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1642983000,1.0,1.0,1.0,0.0,0.0,1.0,direct,
1,1642982940,1.001,0.9995,1.001,54.49,54.54,1.001,invert_divide,BTC
2,1642982880,1.002,1.001,1.0,55.73,55.77,1.001,invert_divide,BTC
3,1642982820,1.001,1.0,1.0,40.57,40.59,1.0,invert_divide,BTC
4,1642982760,1.002,1.0,1.0,65.16,65.19,1.0,invert_divide,BTC
5,1642982700,1.002,1.0,1.001,28.08,28.09,1.0,invert_divide,BTC
6,1642982640,1.001,0.9999,1.001,12.23,12.24,1.001,invert_divide,BTC
7,1642982580,1.001,1.0,1.001,29.14,29.16,1.001,invert_divide,BTC
8,1642982520,1.003,1.0,1.0,638.4,638.75,1.001,invert_divide,ETH
9,1642982460,1.002,1.0,1.0,428.67,428.81,1.0,invert_divide,ETH
10,1642982400,1.002,1.0,1.001,266.3,266.36,1.0,invert_divide,ETH
11,1642982340,1.001,1.0,1.001,19.96,19.98,1.001,invert_divide,BTC
12,1642982280,1.001,0.998,1.001,454.98,455.26,1.001,invert_divide,ETH
13,1642982220,1.002,1.001,1.0,718.3,718.81,1.001,invert_divide,ETH
14,1642982160,1.001,1.0,1.001,190.74,190.82,1.0,invert_divide,ETH
15,1642982100,1.003,1.001,1.0,810.47,810.96,1.001,invert_divide,ETH
16,1642982040,1.001,0.9967,1.0,1254.68,1255.19,1.0,invert_divide,ETH
17,1642981980,1.004,0.9999,1.0,2511.95,2512.57,1.0,invert_divide,ETH
18,1642981920,1.001,0.9996,1.0,227.31,227.37,1.0,invert_divide,ETH
19,1642981860,1.001,0.9993,1.001,38.55,38.58,1.001,invert_divide,BTC
20,1642981800,1.001,0.9995,1.001,338.44,338.62,1.001,invert_divide,ETH
21,1642981740,1.002,1.0,1.0,251.95,252.09,1.001,invert_divide,ETH
22,1642981680,1.001,0.9983,1.001,375.85,375.94,1.0,invert_divide,ETH
23,1642981620,1.001,0.9972,1.0,785.24,785.7,1.001,invert_divide,ETH
24,1642981560,1.001,0.9993,1.001,37.76,37.79,1.001,invert_divide,BTC
25,1642981500,1.002,0.9989,1.0,369.98,370.21,1.001,invert_divide,ETH
26,1642981440,1.001,1.001,1.001,16.49,16.5,1.001,invert_divide,BTC
27,1642981380,1.001,0.9986,1.001,42.25,42.28,1.001,invert_divide,BTC
28,1642981320,1.002,1.0,1.001,43.21,43.24,1.001,invert_divide,BTC
29,1642981260,1.002,1.001,1.001,40.15,40.18,1.001,invert_divide,BTC
30,1642981200,1.001,1.001,1.001,24.46,24.47,1.001,invert_divide,BTC
31,1642981140,1.001,1.0,1.001,66.87,66.92,1.001,invert_divide,BTC
32,1642981080,1.002,0.9991,1.001,352.95,353.18,1.001,invert_divide,ETH
33,1642981020,1.002,1.0,1.001,44.87,44.9,1.001,invert_divide,BTC
34,1642980960,1.001,0.9996,1.001,308.03,308.2,1.001,invert_divide,ETH
35,1642980900,1.002,1.0,1.0,593.5,593.86,1.001,invert_divide,ETH
36,1642980840,1.001,0.9994,1.001,42.96,42.98,1.0,invert_divide,BTC
37,1642980780,1.002,1.0,1.001,76.46,76.51,1.001,invert_divide,BTC
38,1642980720,1.002,0.9996,1.001,151.51,151.65,1.001,invert_divide,BTC
39,1642980660,1.002,1.001,1.001,71.06,71.12,1.001,invert_divide,BTC
40,1642980600,1.004,1.0,1.001,781.61,782.26,1.001,invert_divide,ETH
41,1642980540,1.002,1.001,1.0,67.5,67.58,1.001,invert_divide,BTC
42,1642980480,1.003,1.0,1.001,122.14,122.19,1.0,invert_divide,BTC
43,1642980420,1.002,1.0,1.0,60.36,60.42,1.001,invert_divide,BTC
44,1642980360,1.001,0.999,1.001,53.12,53.15,1.0,invert_divide,BTC
45,1642980300,1.001,0.9978,1.001,783.1,783.74,1.001,invert_divide,ETH
46,1642980240,1.002,1.0,1.0,379.12,379.41,1.001,invert_divide,ETH
47,1642980180,1.001,0.9991,1.001,348.79,348.94,1.0,invert_divide,ETH
48,1642980120,1.003,1.001,1.002,523.18,523.65,1.001,invert_divide,ETH
49,1642980060,1.002,0.9989,1.001,98.29,98.42,1.001,invert_divide,BTC
50,1642980000,1.002,1.0,1.0,74.21,74.28,1.001,invert_divide,BTC
51,1642979940,1.001,0.9958,1.001,923.73,924.51,1.001,invert_divide,ETH
52,1642979880,1.001,0.9977,1.001,1134.43,1135.56,1.001,invert_divide,ETH
53,1642979820,1.001,0.999,1.001,547.55,547.88,1.001,invert_divide,ETH
54,1642979760,1.006,0.9995,1.001,2294.66,2297.58,1.001,invert_divide,ETH
55,1642979700,1.002,0.9995,1.0,754.21,755.09,1.001,invert_divide,ETH
56,1642979640,1.002,0.9997,1.0,1151.25,1151.8,1.0,invert_divide,ETH
57,1642979580,1.001,0.9958,1.001,369.08,369.29,1.001,invert_divide,BTC
58,1642979520,1.002,0.993,0.9994,545.54,546.34,1.001,invert_divide,BTC
59,1642979460,0.9995,0.9962,1.001,537.78,537.47,0.9994,invert_divide,BTC
60,1642979400,1.001,0.9993,1.001,753.94,754.41,1.001,invert_divide,ETH
61,1642979340,1.001,1.0,1.001,981.46,982.13,1.001,invert_divide,ETH
62,1642979280,1.001,0.9992,1.001,490.0,490.39,1.001,invert_divide,ETH
63,1642979220,1.002,0.9997,1.0,546.22,546.5,1.001,invert_divide,ETH
64,1642979160,1.001,0.9997,1.0,31.76,31.78,1.001,invert_divide,BTC
65,1642979100,1.002,0.9962,1.0,985.95,986.38,1.0,invert_divide,ETH
66,1642979040,1.002,0.9995,1.0,57.22,57.28,1.001,invert_divide,BTC
67,1642978980,1.001,0.9913,0.9969,1420.15,1420.99,1.001,invert_divide,ETH
68,1642978920,0.9991,0.9948,1.001,149.63,149.46,0.9989,invert_divide,BTC
69,1642978860,1.001,0.9993,1.001,13.86,13.87,1.001,invert_divide,BTC
70,1642978800,1.004,0.9991,1.001,82.15,82.19,1.001,invert_divide,BTC
71,1642978740,1.001,1.0,1.0,138.15,138.25,1.001,invert_divide,ETH
72,1642978680,1.001,0.9995,1.001,18.06,18.07,1.001,invert_divide,BTC
73,1642978620,1.001,1.0,1.001,8.076,8.08,1.001,invert_divide,BTC
74,1642978560,1.001,0.9995,1.001,15.89,15.9,1.001,invert_divide,BTC
75,1642978500,1.001,1.0,1.001,101.14,101.19,1.001,invert_divide,ETH
76,1642978440,1.002,1.001,1.001,27.84,27.86,1.001,invert_divide,BTC
77,1642978380,1.002,0.9991,1.0,255.92,256.07,1.001,invert_divide,ETH
78,1642978320,1.001,0.9999,1.001,19.1,19.11,1.001,invert_divide,BTC
79,1642978260,1.0,1.0,1.0,136.15,136.19,1.0,invert_divide,ETH
80,1642978200,1.002,1.001,1.001,11.14,11.15,1.001,invert_divide,BTC
81,1642978140,1.002,1.001,1.001,16.25,16.27,1.001,invert_divide,BTC
82,1642978080,1.001,0.9995,1.001,14.68,14.69,1.001,invert_divide,BTC
83,1642978020,1.001,0.9997,1.001,20.13,20.14,1.001,invert_divide,BTC
84,1642977960,1.001,0.9969,1.0,248.83,248.98,1.001,invert_divide,ETH
85,1642977900,1.002,0.9996,1.0,177.46,177.49,1.0,invert_divide,ETH
86,1642977840,1.001,1.0,1.001,15.95,15.96,1.001,invert_divide,BTC
87,1642977780,1.001,1.001,1.001,77.91,77.97,1.001,invert_divide,BTC
88,1642977720,1.001,1.001,1.0,54.81,54.85,1.001,invert_divide,ETH
89,1642977660,1.001,1.0,1.0,46.63,46.65,1.0,invert_divide,ETH
90,1642977600,1.001,1.0,1.001,4.319,4.321,1.0,invert_divide,BTC
91,1642977540,1.001,1.0,1.001,9.142,9.148,1.001,invert_divide,BTC
92,1642977480,1.002,1.001,1.0,238.2,238.33,1.001,invert_divide,ETH
93,1642977420,1.001,1.0,1.001,75.07,75.11,1.0,invert_divide,ETH
94,1642977360,1.001,1.0,1.0,8.286,8.289,1.0,invert_divide,BTC
95,1642977300,1.001,1.0,1.0,88.91,88.95,1.0,invert_divide,ETH
96,1642977240,1.001,1.0,1.0,4.616,4.618,1.0,invert_divide,BTC
97,1642977180,1.0,1.0,1.0,13.68,13.69,1.0,invert_divide,BTC
98,1642977120,1.001,1.0,1.001,413.76,413.98,1.001,invert_divide,ETH
99,1642977060,1.001,0.9992,1.001,404.51,404.73,1.001,invert_divide,ETH
100,1642977000,1.001,0.9991,1.0,1158.95,1159.66,1.001,invert_divide,ETH
101,1642976940,1.0,0.9999,1.0,13.84,13.84,1.0,invert_divide,BTC
102,1642976880,1.0,0.9989,1.0,685.21,685.33,1.0,invert_divide,ETH
103,1642976820,1.001,0.9999,1.0,63.75,63.78,1.0,invert_divide,ETH
104,1642976760,1.001,0.9998,0.9999,152.13,152.15,1.0,invert_divide,ETH
105,1642976700,1.0,0.9991,1.0,40.31,40.32,1.0,invert_divide,BTC
106,1642976640,1.002,1.001,1.0,223.2,223.34,1.001,invert_divide,ETH
107,1642976580,1.001,1.0,1.001,466.93,467.16,1.0,invert_divide,ETH
108,1642976520,1.003,1.001,1.001,64.29,64.34,1.001,invert_divide,BTC
109,1642976460,1.001,0.9989,1.0,48.16,48.19,1.001,invert_divide,BTC
110,1642976400,1.001,0.9994,1.0,270.58,270.71,1.0,invert_divide,ETH
111,1642976340,1.001,0.9996,1.0,16.81,16.82,1.001,invert_divide,BTC
112,1642976280,1.0,0.9986,1.0,14.96,14.96,1.0,invert_divide,BTC
113,1642976220,1.0,1.0,1.0,15.32,15.33,1.0,invert_divide,BTC
114,1642976160,1.0,0.9991,1.0,28.93,28.94,1.0,invert_divide,BTC
115,1642976100,1.0,0.9995,1.0,22.92,22.93,1.0,invert_divide,BTC
116,1642976040,1.003,1.0,1.0,77.23,77.25,1.0,invert_divide,BTC
117,1642975980,1.001,0.9998,1.001,111.8,111.82,1.0,invert_divide,ETH
118,1642975920,1.002,0.9994,1.0,336.56,336.75,1.001,invert_divide,ETH
119,1642975860,1.0,0.9993,1.0,195.87,195.93,1.0,invert_divide,ETH
120,1642975800,1.001,1.0,1.0,21.46,21.47,1.001,invert_divide,BTC
121,1642975740,1.0,0.9996,0.9999,12.48,12.48,1.0,invert_divide,BTC
122,1642975680,1.0,0.9994,1.001,13.76,13.76,0.9999,invert_divide,BTC
123,1642975620,1.001,1.0,1.001,16.33,16.34,1.001,invert_divide,BTC
124,1642975560,1.001,1.0,1.001,23.48,23.49,1.001,invert_divide,BTC
125,1642975500,1.002,1.0,1.0,171.42,171.53,1.001,invert_divide,ETH
126,1642975440,1.0,0.9996,1.0,166.57,166.58,1.0,invert_divide,ETH
127,1642975380,1.001,1.0,1.0,10.54,10.54,1.0,invert_divide,BTC
128,1642975320,1.0,0.9995,1.0,7.89,7.891,1.0,invert_divide,BTC
129,1642975260,1.002,1.0,1.0,89.33,89.38,1.001,invert_divide,ETH
130,1642975200,1.0,0.9992,1.0,187.45,187.5,1.0,invert_divide,ETH
131,1642975140,1.001,0.9998,1.0,15.5,15.5,1.0,invert_divide,BTC
132,1642975080,1.001,0.9999,1.0,17.12,17.13,1.0,invert_divide,BTC
133,1642975020,1.002,1.0,1.0,69.39,69.42,1.0,invert_divide,BTC
134,1642974960,1.0,0.9989,1.001,15.92,15.93,1.0,invert_divide,BTC
135,1642974900,1.001,0.9998,1.0,112.32,112.35,1.0,invert_divide,ETH
136,1642974840,1.001,1.0,1.001,18.44,18.45,1.0,invert_divide,BTC
137,1642974780,1.001,1.0,1.001,9.378,9.383,1.001,invert_divide,BTC
138,1642974720,1.003,1.0,1.001,19.38,19.39,1.001,invert_divide,BTC
139,1642974660,1.001,0.9994,1.0,290.28,290.39,1.0,invert_divide,ETH
