,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,Unnamed: 0
0,1644077700,0.1482,0.1481,0.1482,0.0,0.0,0.1481,direct,,
1,1644077640,0.1482,0.148,0.1481,36713.84,5440.28,0.1482,direct,,
2,1644077580,0.1482,0.148,0.1482,99332.37,14704.58,0.1481,direct,,
3,1644077520,0.1483,0.148,0.1483,246384.19,36486.35,0.1482,direct,,
4,1644077460,0.1483,0.1482,0.1482,32715.09,4850.43,0.1483,direct,,
5,1644077400,0.1484,0.1482,0.1483,127651.91,18925.14,0.1482,direct,,
6,1644077340,0.1484,0.1482,0.1483,167561.52,24853.05,0.1483,direct,,
7,1644077280,0.1485,0.1483,0.1483,130479.95,19352.85,0.1483,direct,,
8,1644077220,0.1485,0.1483,0.1484,247687.17,36743.93,0.1483,direct,,
9,1644077160,0.1487,0.1484,0.1486,264995.03,39363.4,0.1484,direct,,
10,1644077100,0.1486,0.1485,0.1485,118071.28,17545.16,0.1486,direct,,
11,1644077040,0.149,0.1485,0.149,1153110.46,171292.44,0.1485,direct,,
12,1644076980,0.1492,0.149,0.1492,175011.25,26082.35,0.149,direct,,
13,1644076920,0.1493,0.1489,0.1489,659248.22,98369.5,0.1492,direct,,
14,1644076860,0.1489,0.1488,0.1488,811846.93,120864.23,0.1489,direct,,
15,1644076800,0.1492,0.1488,0.149,771673.6,114950.3,0.1488,direct,,
16,1644076740,0.1491,0.1489,0.1489,195411.21,29119.63,0.149,direct,,
17,1644076680,0.1491,0.1489,0.149,366533.8,54620.68,0.1489,direct,,
18,1644076620,0.149,0.1487,0.1488,341639.71,50869.83,0.149,direct,,
19,1644076560,0.1489,0.1487,0.1488,35838.7,5334.04,0.1488,direct,,
20,1644076500,0.1489,0.1487,0.1487,37804.9,5626.65,0.1488,direct,,
21,1644076440,0.1489,0.1487,0.1488,101764.17,15139.2,0.1487,direct,,
22,1644076380,0.1489,0.1487,0.1489,82511.84,12280.51,0.1488,direct,,
23,1644076320,0.149,0.1488,0.1489,268423.65,39950.87,0.1489,direct,,
24,1644076260,0.149,0.1487,0.1487,512491.46,76280.39,0.1489,direct,,
25,1644076200,0.149,0.1486,0.1488,1647287.22,245014.22,0.1487,direct,,
26,1644076140,0.1496,0.1487,0.1496,3227110.61,481155.06,0.1488,direct,,
27,1644076080,0.1498,0.1494,0.1498,3528447.02,527638.83,0.1496,direct,,
28,1644076020,0.1499,0.1497,0.1498,87331.43,13082.91,0.1498,direct,,
29,1644075960,0.1499,0.1497,0.1498,188305.42,28208.32,0.1498,direct,,
30,1644075900,0.1501,0.1497,0.1501,296628.21,44441.15,0.1498,direct,,
31,1644075840,0.1502,0.15,0.1502,31141.33,4673.28,0.1501,direct,,
32,1644075780,0.1502,0.1499,0.1501,135765.93,20382.46,0.1502,direct,,
33,1644075720,0.1502,0.1499,0.1502,846135.43,126932.03,0.1501,direct,,
34,1644075660,0.1504,0.1499,0.1504,656056.45,98478.68,0.1502,direct,,
35,1644075600,0.1506,0.1502,0.1503,1981613.07,297939.28,0.1504,direct,,
36,1644075540,0.1507,0.1498,0.1498,3595944.15,540902.01,0.1503,direct,,
37,1644075480,0.1499,0.1497,0.1498,59662.0,8937.97,0.1498,direct,,
38,1644075420,0.1498,0.1497,0.1498,134414.36,20125.62,0.1498,direct,,
