,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,Unnamed: 0
0,1644077520,3037.45,3035.05,3037.45,0.0,0.0,3035.05,direct,,
1,1644077460,3038.77,3037.15,3037.44,134.06,407269.87,3037.45,direct,,
2,1644077400,3039.67,3036.37,3039.66,160.6,487921.86,3037.44,direct,,
3,1644077340,3043.35,3039.55,3042.28,80.15,243725.28,3039.66,direct,,
4,1644077280,3043.19,3039.78,3039.78,108.23,329244.24,3042.28,direct,,
5,1644077220,3041.52,3038.23,3040.78,168.97,513568.02,3039.78,direct,,
6,1644077160,3043.65,3040.41,3043.11,230.8,702086.03,3040.78,direct,,
7,1644077100,3044.31,3040.61,3040.72,102.75,312641.03,3043.11,direct,,
8,1644077040,3047.64,3037.43,3047.64,568.11,1727355.49,3040.72,direct,,
9,1644076980,3054.83,3047.64,3054.16,145.88,445142.41,3047.64,direct,,
10,1644076920,3056.32,3051.98,3051.98,269.19,822294.29,3054.16,direct,,
11,1644076860,3051.98,3048.37,3050.7,231.19,705330.7,3051.98,direct,,
12,1644076800,3057.9,3050.37,3054.89,343.9,1050264.26,3050.7,direct,,
13,1644076740,3054.95,3053.25,3053.93,116.89,357049.6,3054.89,direct,,
14,1644076680,3053.93,3050.33,3050.53,117.26,358000.91,3053.93,direct,,
15,1644076620,3051.34,3046.69,3047.61,210.02,640448.51,3050.53,direct,,
16,1644076560,3047.69,3046.61,3047.37,81.12,247228.39,3047.61,direct,,
17,1644076500,3048.29,3045.77,3046.78,300.19,914580.67,3047.37,direct,,
18,1644076440,3047.97,3045.28,3045.28,146.49,446341.4,3046.78,direct,,
19,1644076380,3047.57,3045.28,3047.37,138.37,421529.22,3045.28,direct,,
20,1644076320,3049.48,3046.49,3046.76,185.9,566567.17,3047.37,direct,,
21,1644076260,3048.28,3044.43,3048.03,167.24,509374.01,3046.76,direct,,
22,1644076200,3055.09,3048.03,3054.44,584.86,1784848.46,3048.03,direct,,
23,1644076140,3054.77,3053.61,3054.21,133.94,409068.03,3054.44,direct,,
24,1644076080,3054.79,3053.09,3054.77,83.22,254119.07,3054.21,direct,,
25,1644076020,3056.76,3053.97,3054.71,151.85,463946.16,3054.77,direct,,
26,1644075960,3057.83,3051.87,3052.22,141.0,430786.36,3054.71,direct,,
27,1644075900,3057.39,3050.75,3057.29,260.84,796362.14,3052.22,direct,,
28,1644075840,3059.07,3056.63,3058.12,197.61,604287.61,3057.29,direct,,
29,1644075780,3058.64,3054.29,3054.43,152.15,465075.0,3058.12,direct,,
30,1644075720,3056.47,3053.54,3055.97,115.75,353667.37,3054.43,direct,,
31,1644075660,3061.23,3052.72,3061.23,262.96,803471.52,3055.97,direct,,
32,1644075600,3062.37,3059.92,3059.92,206.98,633664.71,3061.23,direct,,
33,1644075540,3060.68,3059.52,3060.05,136.12,416556.32,3059.92,direct,,
34,1644075480,3062.12,3059.63,3061.61,283.18,866811.07,3060.05,direct,,
35,1644075420,3062.95,3058.12,3059.11,410.12,1255236.53,3061.61,direct,,
36,1644075360,3060.99,3057.76,3057.78,609.29,1864545.73,3059.11,direct,,
37,1644075300,3058.79,3053.63,3053.89,326.75,998707.18,3057.78,direct,,
38,1644075240,3056.35,3053.89,3055.54,280.58,857030.92,3053.89,direct,,
39,1644075180,3058.6,3053.46,3053.46,408.87,1249753.76,3055.54,direct,,
40,1644075120,3053.97,3050.62,3052.34,117.39,358384.47,3053.46,direct,,
41,1644075060,3054.23,3052.08,3052.08,264.11,806548.46,3052.34,direct,,
42,1644075000,3052.19,3047.35,3048.18,382.91,1168047.38,3052.08,direct,,
43,1644074940,3050.25,3045.48,3045.9,180.42,549840.07,3048.18,direct,,
44,1644074880,3045.9,3042.73,3044.45,137.69,419200.94,3045.9,direct,,
45,1644074820,3045.6,3041.59,3042.93,174.2,530257.72,3044.45,direct,,
46,1644074760,3044.74,3039.27,3044.11,177.08,538592.42,3042.93,direct,,
47,1644074700,3045.9,3040.19,3040.85,152.98,465491.14,3044.11,direct,,
48,1644074640,3042.05,3037.83,3042.05,230.3,699954.32,3040.85,direct,,
49,1644074580,3047.4,3040.67,3041.22,435.46,1325527.18,3042.05,direct,,
50,1644074520,3055.35,3039.04,3055.05,1019.55,3106230.45,3041.22,direct,,
51,1644074460,3056.8,3054.03,3055.88,315.62,964261.94,3055.05,direct,,
52,1644074400,3056.42,3052.26,3055.39,545.83,1667399.04,3055.88,direct,,
53,1644074340,3057.05,3050.07,3052.67,510.38,1558671.89,3055.39,direct,,
54,1644074280,3056.09,3046.07,3046.21,1696.58,5178590.5,3052.67,direct,,
55,1644074220,3047.76,3043.67,3046.2,864.12,2632399.68,3046.21,direct,,
56,1644074160,3047.24,3035.53,3035.54,1057.84,3218283.79,3046.2,direct,,
57,1644074100,3036.5,3034.18,3036.07,229.46,696420.53,3035.54,direct,,
58,1644074040,3037.22,3035.13,3035.13,187.05,568033.6,3036.07,direct,,
59,1644073980,3036.57,3033.15,3035.09,264.1,801530.28,3035.13,direct,,
60,1644073920,3038.8,3034.24,3036.04,358.79,1089395.53,3035.09,direct,,
61,1644073860,3038.73,3035.33,3036.88,344.12,1045279.38,3036.04,direct,,
62,1644073800,3040.18,3030.02,3030.51,315.59,958189.45,3036.88,direct,,
63,1644073740,3030.61,3025.52,3025.53,185.84,563044.95,3030.51,direct,,
64,1644073680,3027.52,3019.29,3019.37,292.06,883204.98,3025.53,direct,,
