,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,Unnamed: 0
0,1644077580,1.001,1.001,1.001,0.0,0.0,1.001,direct,,
1,1644077520,1.002,1.0,1.001,191.66,191.89,1.001,invert_divide,ETH,
2,1644077460,1.001,1.001,1.001,136.64,136.78,1.001,invert_divide,ETH,
3,1644077400,1.001,1.0,1.001,31.54,31.56,1.001,invert_divide,BTC,
4,1644077340,1.001,1.001,1.001,66.06,66.11,1.001,invert_divide,BTC,
5,1644077280,1.001,1.0,1.001,108.23,108.33,1.001,invert_divide,ETH,
6,1644077220,1.001,1.001,1.001,603730.98,604107.05,1.001,direct,,
7,1644077160,1.002,1.001,1.001,21.92,21.94,1.001,invert_divide,BTC,
8,1644077100,1.001,1.0,1.001,7.699,7.706,1.001,invert_divide,BTC,
9,1644077040,1.003,1.0,1.001,51.82,51.86,1.001,invert_divide,BTC,
10,1644076980,1.003,1.001,1.001,14.5,14.51,1.001,invert_divide,BTC,
11,1644076920,1.002,0.9998,1.001,61.47,61.53,1.001,invert_divide,BTC,
12,1644076860,1.001,0.9996,1.001,33.58,33.6,1.001,invert_divide,BTC,
13,1644076800,1.003,1.0,1.001,343.9,344.03,1.0,invert_divide,ETH,
14,1644076740,1.001,1.001,1.001,9.404,9.413,1.001,invert_divide,BTC,
15,1644076680,1.001,0.9999,1.001,117.26,117.38,1.001,invert_divide,ETH,
16,1644076620,1.001,0.9999,1.001,210.02,210.26,1.001,invert_divide,ETH,
17,1644076560,1.001,1.001,1.001,156355.69,156475.81,1.001,direct,,
18,1644076500,1.001,1.0,1.001,300.19,300.45,1.001,invert_divide,ETH,
19,1644076440,1.001,1.001,1.001,27.65,27.68,1.001,invert_divide,BTC,
20,1644076380,1.002,1.001,1.001,138.37,138.5,1.001,invert_divide,ETH,
21,1644076320,1.002,1.001,1.001,14.73,14.74,1.001,invert_divide,BTC,
22,1644076260,1.002,1.0,1.001,30.4,30.43,1.001,invert_divide,BTC,
23,1644076200,1.003,1.001,1.001,584.86,585.27,1.001,invert_divide,ETH,
24,1644076140,1.001,1.001,1.001,10.04,10.05,1.001,invert_divide,BTC,
25,1644076080,1.001,1.0,1.001,14.92,14.93,1.001,invert_divide,BTC,
26,1644076020,1.002,1.001,1.001,151.85,152.01,1.001,invert_divide,ETH,
27,1644075960,1.002,1.0,1.001,15.46,15.48,1.001,invert_divide,BTC,
28,1644075900,1.002,1.0,1.001,27.69,27.72,1.001,invert_divide,BTC,
29,1644075840,1.002,1.001,1.001,20.54,20.56,1.001,invert_divide,BTC,
30,1644075780,1.001,1.0,1.001,48.27,48.32,1.001,invert_divide,BTC,
31,1644075720,1.001,1.0,1.001,15.13,15.14,1.001,invert_divide,BTC,
32,1644075660,1.002,0.9999,1.001,48.18,48.22,1.001,invert_divide,BTC,
33,1644075600,1.001,1.0,1.001,38.93,38.96,1.001,invert_divide,BTC,
34,1644075540,1.001,1.001,1.001,41.48,41.51,1.001,invert_divide,BTC,
35,1644075480,1.002,1.001,1.001,283.18,283.45,1.001,invert_divide,ETH,
36,1644075420,1.001,1.0,1.001,58.31,58.35,1.001,invert_divide,BTC,
37,1644075360,1.002,1.001,1.001,609.29,610.06,1.001,invert_divide,ETH,
38,1644075300,1.001,0.9997,1.001,326.75,327.1,1.001,invert_divide,ETH,
39,1644075240,1.002,1.001,1.001,280.58,280.83,1.001,invert_divide,ETH,
40,1644075180,1.002,1.0,1.001,408.87,409.35,1.001,invert_divide,ETH,
41,1644075120,1.001,0.9998,1.001,18.53,18.55,1.001,invert_divide,BTC,
42,1644075060,1.001,1.0,1.001,20.82,20.84,1.001,invert_divide,BTC,
43,1644075000,1.001,0.9994,1.001,382.91,383.28,1.001,invert_divide,ETH,
44,1644074940,1.002,1.0,1.001,180.42,180.59,1.001,invert_divide,ETH,
45,1644074880,1.001,1.0,1.001,137.69,137.83,1.001,invert_divide,ETH,
46,1644074820,1.001,1.0,1.001,174.2,174.37,1.001,invert_divide,ETH,
47,1644074760,1.001,0.9998,1.001,30.72,30.74,1.001,invert_divide,BTC,
48,1644074700,1.002,0.9999,1.001,16.06,16.08,1.001,invert_divide,BTC,
49,1644074640,1.001,1.0,1.001,23.15,23.17,1.001,invert_divide,BTC,
50,1644074580,1.003,1.001,1.001,33.18,33.2,1.001,invert_divide,BTC,
51,1644074520,1.005,1.001,1.001,117.78,117.85,1.001,invert_divide,BTC,
52,1644074460,1.001,0.9996,1.001,35.91,35.93,1.001,invert_divide,BTC,
53,1644074400,1.001,1.0,1.001,545.83,546.48,1.001,invert_divide,ETH,
54,1644074340,1.002,0.9992,1.001,67.65,67.72,1.001,invert_divide,BTC,
55,1644074280,1.003,0.9992,1.001,1696.58,1698.94,1.001,invert_divide,ETH,
56,1644074220,1.001,1.0,1.001,864.12,864.87,1.001,invert_divide,ETH,
57,1644074160,1.001,0.9973,1.001,1057.84,1058.68,1.001,invert_divide,ETH,
58,1644074100,1.001,1.001,1.001,1013680.58,1014399.16,1.001,direct,,
59,1644074040,1.001,1.001,1.001,187.05,187.23,1.001,invert_divide,ETH,
60,1644073980,1.001,1.0,1.001,264.1,264.33,1.001,invert_divide,ETH,
61,1644073920,1.002,1.0,1.001,35.39,35.41,1.001,invert_divide,BTC,
62,1644073860,1.002,1.001,1.002,344.12,344.47,1.001,invert_divide,ETH,
63,1644073800,1.002,0.9994,1.001,34.51,34.54,1.001,invert_divide,BTC,
64,1644073740,1.001,0.9994,1.001,25.95,25.97,1.001,invert_divide,BTC,
65,1644073680,1.001,0.9995,1.001,23.69,23.71,1.001,invert_divide,BTC,
66,1644073620,1.001,1.001,1.001,10.65,10.66,1.001,invert_divide,BTC,
67,1644073560,1.001,1.0,1.001,444.82,445.28,1.001,invert_divide,ETH,
68,1644073500,1.002,1.001,1.001,36.56,36.59,1.001,invert_divide,BTC,
69,1644073440,1.001,0.9999,1.001,27.95,27.97,1.001,invert_divide,BTC,
70,1644073380,1.001,0.9997,1.001,13.5,13.51,1.001,invert_divide,BTC,
71,1644073320,1.001,0.9999,1.001,21.85,21.87,1.001,invert_divide,BTC,
72,1644073260,1.001,1.001,1.001,2048654.71,2050087.36,1.001,direct,,
73,1644073200,1.002,1.0,1.001,51.08,51.12,1.001,invert_divide,BTC,
74,1644073140,1.001,0.9994,1.001,49.73,49.78,1.001,invert_divide,BTC,
75,1644073080,1.004,1.001,1.001,36.29,36.32,1.001,invert_divide,BTC,
76,1644073020,1.003,1.0,1.001,56.85,56.89,1.001,invert_divide,BTC,
77,1644072960,1.002,0.9984,1.001,1937.84,1939.13,1.001,invert_divide,ETH,
78,1644072900,1.002,0.9995,1.001,52.9,52.94,1.001,invert_divide,BTC,
79,1644072840,1.002,0.9991,1.001,68.25,68.3,1.001,invert_divide,BTC,
80,1644072780,1.001,1.0,1.001,339.52,339.82,1.001,invert_divide,ETH,
81,1644072720,1.001,1.0,1.001,31.45,31.48,1.001,invert_divide,BTC,
82,1644072660,1.001,1.001,1.001,3.961,3.964,1.001,invert_divide,BTC,
83,1644072600,1.001,1.0,1.001,87.17,87.25,1.001,invert_divide,ETH,
84,1644072540,1.001,1.0,1.001,37.21,37.24,1.001,invert_divide,BTC,
85,1644072480,1.001,1.001,1.001,3.614,3.617,1.001,invert_divide,BTC,
86,1644072420,1.001,1.001,1.001,218.79,218.98,1.001,invert_divide,ETH,
87,1644072360,1.001,1.0,1.001,168.92,169.06,1.001,invert_divide,ETH,
88,1644072300,1.001,1.001,1.001,118.77,118.89,1.001,invert_divide,ETH,
89,1644072240,1.001,1.001,1.001,56.73,56.78,1.001,invert_divide,ETH,
90,1644072180,1.001,1.001,1.001,63.48,63.54,1.001,invert_divide,ETH,
91,1644072120,1.001,1.0,1.001,22.87,22.89,1.001,invert_divide,BTC,
92,1644072060,1.001,1.001,1.001,111.88,111.99,1.001,invert_divide,ETH,
93,1644072000,1.001,1.001,1.001,6.945,6.951,1.001,invert_divide,BTC,
94,1644071940,1.001,1.001,1.001,6.295,6.301,1.001,invert_divide,BTC,
95,1644071880,1.001,1.001,1.001,108.42,108.52,1.001,invert_divide,ETH,
96,1644071820,1.001,1.001,1.001,141.4,141.54,1.001,invert_divide,ETH,
97,1644071760,1.001,1.001,1.001,17.15,17.16,1.001,invert_divide,BTC,
98,1644071700,1.001,1.001,1.001,93.1,93.17,1.001,invert_divide,ETH,
99,1644071640,1.001,1.0,1.001,9.802,9.81,1.001,invert_divide,BTC,
100,1644071580,1.001,1.001,1.001,25.3,25.32,1.001,invert_divide,BTC,
101,1644071520,1.001,1.0,1.001,7.181,7.187,1.001,invert_divide,BTC,
102,1644071460,1.001,1.0,1.001,24.25,24.27,1.001,invert_divide,BTC,
103,1644071400,1.001,0.9997,1.001,23.2,23.21,1.001,invert_divide,BTC,
104,1644071340,1.002,1.001,1.001,15.5,15.51,1.001,invert_divide,BTC,
105,1644071280,1.001,1.001,1.001,77.33,77.41,1.001,invert_divide,ETH,
106,1644071220,1.001,1.0,1.001,56.33,56.38,1.001,invert_divide,ETH,
107,1644071160,1.002,1.001,1.001,21.07,21.09,1.001,invert_divide,BTC,
108,1644071100,1.001,1.001,1.001,13.09,13.1,1.001,invert_divide,BTC,
109,1644071040,1.001,1.0,1.001,148.91,149.03,1.001,invert_divide,ETH,
110,1644070980,1.001,1.0,1.001,13.01,13.02,1.001,invert_divide,BTC,
111,1644070920,1.001,1.0,1.001,10.83,10.84,1.001,invert_divide,BTC,
112,1644070860,1.001,1.001,1.001,97.93,98.02,1.001,invert_divide,ETH,
113,1644070800,1.001,0.9992,1.001,253.23,253.4,1.001,invert_divide,ETH,
114,1644070740,1.001,1.001,1.001,65.51,65.57,1.001,invert_divide,ETH,
115,1644070680,1.001,1.0,1.001,7.379,7.385,1.001,invert_divide,BTC,
116,1644070620,1.002,1.0,1.001,271.42,271.59,1.001,invert_divide,ETH,
117,1644070560,1.001,1.001,1.001,4.92,4.924,1.001,invert_divide,BTC,
118,1644070500,1.001,1.0,1.001,10.02,10.03,1.001,invert_divide,BTC,
119,1644070440,1.001,1.0,1.001,6.043,6.048,1.001,invert_divide,BTC,
120,1644070380,1.001,1.001,1.001,68.97,69.02,1.001,invert_divide,ETH,
121,1644070320,1.001,1.001,1.001,7.012,7.017,1.001,invert_divide,BTC,
122,1644070260,1.002,1.001,1.001,151.68,151.83,1.001,invert_divide,ETH,
123,1644070200,1.001,1.001,1.001,12.05,12.06,1.001,invert_divide,BTC,
124,1644070140,1.001,1.0,1.001,10.2,10.21,1.001,invert_divide,BTC,
125,1644070080,1.001,1.001,1.001,13.46,13.47,1.001,invert_divide,BTC,
126,1644070020,1.001,1.0,1.001,5.912,5.917,1.001,invert_divide,BTC,
127,1644069960,1.001,1.001,1.001,60.43,60.47,1.001,invert_divide,ETH,
128,1644069900,1.001,1.0,1.001,9.249,9.255,1.001,invert_divide,BTC,
129,1644069840,1.001,1.001,1.001,1004891.4,1005395.51,1.001,direct,,
130,1644069780,1.001,1.001,1.001,10.96,10.97,1.001,invert_divide,BTC,
131,1644069720,1.002,1.001,1.001,34.26,34.29,1.001,invert_divide,BTC,
132,1644069660,1.003,1.001,1.001,128.51,128.67,1.001,invert_divide,ETH,
133,1644069600,1.002,1.001,1.001,29.28,29.3,1.001,invert_divide,BTC,
134,1644069540,1.001,1.001,1.001,8.032,8.039,1.001,invert_divide,BTC,
135,1644069480,1.001,1.001,1.001,69.01,69.08,1.001,invert_divide,ETH,
136,1644069420,1.001,1.001,1.001,88.06,88.14,1.001,invert_divide,ETH,
137,1644069360,1.001,1.001,1.001,121.69,121.82,1.001,invert_divide,ETH,
138,1644069300,1.002,1.001,1.001,191.76,191.95,1.001,invert_divide,ETH,
139,1644069240,1.002,1.001,1.001,151.08,151.22,1.001,invert_divide,ETH,
140,1644069180,1.001,1.001,1.001,195.99,196.18,1.001,invert_divide,ETH,
141,1644069120,1.001,1.001,1.001,92.06,92.15,1.001,invert_divide,ETH,
142,1644069060,1.001,1.001,1.001,199.35,199.54,1.001,invert_divide,ETH,
143,1644069000,1.001,1.0,1.001,182.14,182.28,1.001,invert_divide,ETH,
144,1644068940,1.001,1.0,1.001,172.83,172.98,1.001,invert_divide,ETH,
145,1644068880,1.002,1.001,1.001,318.28,318.61,1.001,invert_divide,ETH,
146,1644068820,1.001,0.9999,1.001,200.65,200.82,1.001,invert_divide,ETH,
147,1644068760,1.002,1.001,1.001,133.53,133.7,1.001,invert_divide,ETH,
148,1644068700,1.001,1.001,1.001,12.87,12.88,1.001,invert_divide,BTC,
149,1644068640,1.001,1.001,1.001,87.5,87.59,1.001,invert_divide,ETH,
150,1644068580,1.001,1.001,1.001,170.95,171.13,1.001,invert_divide,ETH,
151,1644068520,1.002,1.001,1.001,417.6,417.95,1.001,invert_divide,ETH,
152,1644068460,1.001,1.001,1.001,203.11,203.32,1.001,invert_divide,ETH,
153,1644068400,1.001,1.001,1.001,90.34,90.42,1.001,invert_divide,ETH,
154,1644068340,1.001,1.0,1.001,19.9,19.91,1.001,invert_divide,BTC,
155,1644068280,1.001,0.9995,1.001,376.25,376.49,1.001,invert_divide,ETH,
156,1644068220,1.001,0.9998,1.001,23.71,23.72,1.001,invert_divide,BTC,
157,1644068160,1.001,1.0,1.001,21.9,21.92,1.001,invert_divide,BTC,
158,1644068100,1.001,1.0,1.001,50.09,50.14,1.001,invert_divide,ETH,
159,1644068040,1.001,1.0,1.001,9.084,9.09,1.001,invert_divide,BTC,
160,1644067980,1.001,1.001,1.001,19.48,19.5,1.001,invert_divide,BTC,
161,1644067920,1.001,1.001,1.001,75.97,76.04,1.001,invert_divide,ETH,
162,1644067860,1.001,1.0,1.001,4.689,4.692,1.001,invert_divide,BTC,
163,1644067800,1.001,1.001,1.001,6.734,6.739,1.001,invert_divide,BTC,
164,1644067740,1.001,1.001,1.001,6.419,6.423,1.001,invert_divide,BTC,
165,1644067680,1.001,1.0,1.001,92.44,92.52,1.001,invert_divide,ETH,
166,1644067620,1.001,1.0,1.001,13.74,13.75,1.001,invert_divide,BTC,
167,1644067560,1.001,1.0,1.001,133.26,133.38,1.001,invert_divide,ETH,
168,1644067500,1.001,1.0,1.001,10.84,10.85,1.001,invert_divide,BTC,
169,1644067440,1.001,1.001,1.001,6.687,6.693,1.001,invert_divide,BTC,
170,1644067380,1.002,1.001,1.001,9.653,9.662,1.001,invert_divide,BTC,
171,1644067320,1.001,1.0,1.001,8.389,8.395,1.001,invert_divide,BTC,
172,1644067260,1.001,1.001,1.001,8.167,8.173,1.001,invert_divide,BTC,
173,1644067200,1.001,1.0,1.001,8.304,8.31,1.001,invert_divide,BTC,
174,1644067140,1.001,1.0,1.001,9.833,9.84,1.001,invert_divide,BTC,
175,1644067080,1.001,1.001,1.001,8.138,8.144,1.001,invert_divide,BTC,
176,1644067020,1.002,1.001,1.001,96.72,96.81,1.001,invert_divide,ETH,
177,1644066960,1.001,1.001,1.001,8.302,8.309,1.001,invert_divide,BTC,
178,1644066900,1.002,1.001,1.001,145.74,145.82,1.001,invert_divide,ETH,
