,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,Unnamed: 0
0,1644077640,0.2152,0.2152,0.2152,0.0,0.0,0.2152,direct,,
1,1644077580,0.2152,0.2149,0.2152,16987.37,3652.77,0.2152,direct,,
2,1644077520,0.2152,0.2149,0.2151,22768.39,4897.13,0.2152,direct,,
3,1644077460,0.2153,0.215,0.2152,17131.66,3685.88,0.2151,direct,,
4,1644077400,0.2153,0.2151,0.2152,52196.0,11231.62,0.2152,direct,,
5,1644077340,0.2155,0.2152,0.2155,25617.0,5515.47,0.2152,direct,,
6,1644077280,0.2155,0.2152,0.2152,68211.09,14691.53,0.2155,direct,,
7,1644077220,0.2154,0.2151,0.2153,124175.59,26732.45,0.2152,direct,,
8,1644077160,0.2156,0.2153,0.2156,12625.4,2720.68,0.2153,direct,,
9,1644077100,0.2157,0.2155,0.2155,40668.86,8766.01,0.2156,direct,,
10,1644077040,0.2159,0.2154,0.2159,111997.13,24147.45,0.2155,direct,,
11,1644076980,0.2162,0.2159,0.2162,22036.21,4762.58,0.2159,direct,,
12,1644076920,0.2164,0.2161,0.2161,99298.53,21480.12,0.2162,direct,,
13,1644076860,0.2161,0.2157,0.2159,92075.27,19886.26,0.2161,direct,,
14,1644076800,0.2164,0.2159,0.2161,153705.29,33212.67,0.2159,direct,,
15,1644076740,0.2161,0.2159,0.2159,29042.55,6273.52,0.2161,direct,,
16,1644076680,0.216,0.2157,0.2157,28694.14,6193.08,0.2159,direct,,
17,1644076620,0.2158,0.2155,0.2155,40941.4,8827.88,0.2157,direct,,
18,1644076560,0.2156,0.2155,0.2155,25511.86,5497.89,0.2155,direct,,
19,1644076500,0.2156,0.2154,0.2154,124840.76,26909.61,0.2155,direct,,
20,1644076440,0.2155,0.2154,0.2154,53545.21,11535.85,0.2154,direct,,
21,1644076380,0.2154,0.2153,0.2154,24715.89,5322.59,0.2154,direct,,
22,1644076320,0.2156,0.2153,0.2154,30972.79,6673.14,0.2154,direct,,
23,1644076260,0.2156,0.2152,0.2156,44153.93,9507.18,0.2154,direct,,
24,1644076200,0.2159,0.2155,0.2158,60969.0,13152.7,0.2156,direct,,
25,1644076140,0.2159,0.2157,0.2159,62268.0,13434.11,0.2158,direct,,
26,1644076080,0.2159,0.2158,0.2159,23971.88,5174.71,0.2159,direct,,
27,1644076020,0.216,0.2158,0.2158,18398.8,3972.61,0.2159,direct,,
28,1644075960,0.216,0.2157,0.2157,45765.59,9878.06,0.2158,direct,,
29,1644075900,0.2162,0.2154,0.2162,150743.7,32530.34,0.2157,direct,,
30,1644075840,0.2163,0.2161,0.2161,33317.45,7203.26,0.2162,direct,,
31,1644075780,0.2163,0.216,0.216,52757.85,11405.81,0.2161,direct,,
32,1644075720,0.2162,0.2159,0.2162,42636.67,9211.56,0.216,direct,,
33,1644075660,0.2166,0.2159,0.2166,60809.47,13150.03,0.2162,direct,,
34,1644075600,0.2166,0.2163,0.2163,42669.3,9236.79,0.2166,direct,,
35,1644075540,0.2164,0.2162,0.2162,90178.0,19504.53,0.2163,direct,,
36,1644075480,0.2164,0.2162,0.2164,41692.0,9019.97,0.2162,direct,,
37,1644075420,0.2165,0.2162,0.2162,42568.0,9209.17,0.2164,direct,,
38,1644075360,0.2164,0.2161,0.2162,109694.15,23719.13,0.2162,direct,,
39,1644075300,0.2162,0.2159,0.216,174285.27,37678.52,0.2162,direct,,
40,1644075240,0.2161,0.2159,0.216,77145.93,16669.53,0.216,direct,,
41,1644075180,0.2161,0.2159,0.2159,34402.15,7430.76,0.216,direct,,
42,1644075120,0.2159,0.2157,0.2158,26701.0,5761.93,0.2159,direct,,
43,1644075060,0.216,0.2157,0.2157,62561.35,13504.3,0.2158,direct,,
44,1644075000,0.2158,0.2155,0.2157,31464.06,6786.59,0.2157,direct,,
45,1644074940,0.2157,0.2153,0.2154,64577.28,13917.17,0.2157,direct,,
46,1644074880,0.2154,0.2151,0.2152,34118.86,7347.23,0.2154,direct,,
47,1644074820,0.2153,0.2151,0.2152,23831.43,5128.39,0.2152,direct,,
48,1644074760,0.2153,0.215,0.2152,42136.65,9065.64,0.2152,direct,,
49,1644074700,0.2153,0.2149,0.215,32926.82,7085.88,0.2152,direct,,
50,1644074640,0.2151,0.2149,0.2151,30707.54,6601.7,0.215,direct,,
51,1644074580,0.2155,0.215,0.2152,39995.07,8610.55,0.2151,direct,,
52,1644074520,0.2159,0.2148,0.2158,281546.21,60634.85,0.2152,direct,,
53,1644074460,0.2158,0.2156,0.2158,141639.03,30569.58,0.2158,direct,,
54,1644074400,0.2159,0.2155,0.2159,27021.43,5828.53,0.2158,direct,,
55,1644074340,0.216,0.2156,0.2157,43678.65,9429.86,0.2159,direct,,
56,1644074280,0.2159,0.2154,0.2154,64646.44,13941.51,0.2157,direct,,
57,1644074220,0.2155,0.2153,0.2154,57149.42,12312.64,0.2154,direct,,
58,1644074160,0.2154,0.2149,0.2149,45633.24,9823.22,0.2154,direct,,
59,1644074100,0.2149,0.2147,0.2148,49284.12,10586.36,0.2149,direct,,
60,1644074040,0.2148,0.2147,0.2148,21394.3,4594.8,0.2148,direct,,
61,1644073980,0.2149,0.2146,0.2148,37075.6,7958.26,0.2148,direct,,
62,1644073920,0.2151,0.2147,0.215,69229.11,14884.43,0.2148,direct,,
63,1644073860,0.2151,0.2148,0.2149,90758.73,19517.34,0.215,direct,,
64,1644073800,0.215,0.2144,0.2144,103225.77,22167.56,0.2149,direct,,
65,1644073740,0.2145,0.2141,0.2142,28536.46,6116.75,0.2144,direct,,
66,1644073680,0.2142,0.2136,0.2137,65907.47,14090.22,0.2142,direct,,
67,1644073620,0.2138,0.2136,0.2138,21011.26,4489.35,0.2137,direct,,
68,1644073560,0.2139,0.2137,0.2138,48344.0,10332.47,0.2138,direct,,
69,1644073500,0.214,0.2138,0.2139,42150.02,9014.89,0.2138,direct,,
70,1644073440,0.2139,0.2135,0.2135,19422.31,4150.36,0.2139,direct,,
71,1644073380,0.2136,0.2133,0.2135,176314.47,37626.79,0.2135,direct,,
72,1644073320,0.2138,0.2131,0.2137,145608.46,31055.53,0.2135,direct,,
73,1644073260,0.2142,0.2137,0.214,20326.8,4350.14,0.2137,direct,,
