,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,Unnamed: 0
0,1644077640,166.62,166.48,166.48,0.0,0.0,166.62,direct,,
1,1644077580,166.75,166.63,166.66,218.54,36441.84,166.75,multiply,BTC,
2,1644077520,166.66,166.37,166.29,512.98,85495.08,166.66,multiply,BTC,
3,1644077460,166.57,166.36,166.36,1758.72,292849.76,166.51,multiply,ETH,
4,1644077400,166.37,166.29,166.33,89.09,14821.87,166.37,multiply,BTC,
5,1644077340,166.37,166.33,166.48,12.85,2137.34,166.33,multiply,BTC,
6,1644077280,166.63,166.6,166.49,3.284,547.1,166.6,multiply,ETH,
7,1644077220,166.49,166.33,166.59,226.92,37742.89,166.33,multiply,BTC,
8,1644077160,166.63,166.55,166.79,11.17,1860.82,166.59,multiply,BTC,
9,1644077100,166.79,166.7,166.61,18.29,3050.53,166.79,multiply,BTC,
10,1644077040,166.74,166.61,167.14,12.6,2099.31,166.61,multiply,BTC,
11,1644076980,167.19,167.1,167.36,20.26,3386.35,167.14,multiply,BTC,
12,1644076920,167.34,167.31,167.22,49.7,8315.15,167.31,multiply,ETH,
13,1644076860,167.3,167.17,167.2,217.9,36444.58,167.25,multiply,BTC,
14,1644076800,167.2,167.03,167.19,68.6,11469.91,167.2,multiply,BTC,
15,1644076740,167.44,167.35,167.39,23.04,3856.38,167.38,multiply,ETH,
16,1644076680,167.17,167.08,166.96,48.5,8107.65,167.17,multiply,BTC,
17,1644076620,167.23,167.14,167.01,67.13,11222.06,167.17,multiply,ETH,
18,1644076560,167.01,166.98,167.0,35.33,5900.43,167.01,multiply,ETH,
19,1644076500,167.02,166.94,166.85,42.72,7133.5,166.98,multiply,BTC,
20,1644076440,167.02,166.96,166.88,210.66,35172.54,166.96,multiply,ETH,
21,1644076380,166.94,166.86,166.87,103.15,17219.96,166.94,multiply,BTC,
22,1644076320,166.91,166.83,166.91,65.86,10990.14,166.87,multiply,BTC,
23,1644076260,166.95,166.91,167.05,46.5,7761.33,166.91,multiply,BTC,
24,1644076200,167.0,166.88,167.32,15.68,2618.58,167.0,multiply,ETH,
25,1644076140,167.32,167.26,167.25,19.83,3318.0,167.32,multiply,ETH,
26,1644076080,167.25,167.16,167.19,3.264,545.9,167.25,multiply,ETH,
27,1644076020,167.25,167.19,167.25,2.203,368.31,167.19,multiply,ETH,
28,1644075960,167.2,167.16,167.06,10.05,1679.92,167.16,multiply,BTC,
29,1644075900,167.1,167.06,167.31,92.37,15431.62,167.06,multiply,BTC,
30,1644075840,167.35,167.31,167.49,46.76,7823.25,167.31,multiply,BTC,
31,1644075780,167.49,167.49,167.38,14.49,2426.95,167.49,multiply,BTC,
32,1644075720,167.57,167.38,167.57,100.0,16747.92,167.42,direct,,
33,1644075660,167.68,167.56,167.97,90.25,15122.18,167.56,multiply,ETH,
34,1644075600,167.76,167.59,167.59,10.37,1739.02,167.76,direct,,
35,1644075540,168.02,167.78,167.78,114.02,19157.66,168.02,multiply,ETH,
36,1644075480,167.81,167.78,167.87,2.211,370.97,167.78,multiply,ETH,
37,1644075420,167.87,167.84,167.7,3.939,661.23,167.87,multiply,ETH,
38,1644075360,167.62,167.58,167.48,18.05,3025.51,167.62,multiply,BTC,
39,1644075300,167.78,167.63,167.57,12.57,2107.08,167.63,multiply,ETH,
40,1644075240,167.44,167.27,167.53,17.75,2969.1,167.27,multiply,BTC,
41,1644075180,167.53,167.44,167.43,21.12,3538.17,167.53,multiply,BTC,
42,1644075120,167.67,167.45,167.39,150.85,25264.7,167.48,multiply,ETH,
43,1644075060,167.47,167.22,167.31,113.91,19048.34,167.22,multiply,BTC,
44,1644075000,167.41,167.38,167.19,23.83,3988.57,167.38,multiply,ETH,
45,1644074940,167.14,167.01,166.93,98.62,16482.96,167.14,multiply,BTC,
46,1644074880,167.07,167.04,166.99,58.44,9763.43,167.07,multiply,ETH,
47,1644074820,166.99,166.96,166.87,33.42,5580.74,166.99,multiply,ETH,
48,1644074760,166.87,166.87,166.94,103.23,17226.43,166.87,multiply,ETH,
49,1644074700,166.89,166.8,166.62,79.47,13259.05,166.84,multiply,BTC,
50,1644074640,166.62,166.62,166.69,86.88,14476.26,166.62,multiply,BTC,
51,1644074580,166.83,166.7,166.66,49.35,8232.86,166.83,multiply,ETH,
52,1644074520,166.63,166.59,167.33,54.78,9128.13,166.63,multiply,BTC,
53,1644074460,167.6,167.48,167.58,300.17,50271.82,167.48,multiply,ETH,
54,1644074400,167.62,167.55,167.59,398.04,66705.32,167.58,multiply,ETH,
