,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,Unnamed: 0
0,1644077520,0.671,0.6705,0.671,0.0,0.0,0.6705,direct,,
1,1644077460,0.6714,0.671,0.6712,27561.89,18495.71,0.671,direct,,
2,1644077400,0.6719,0.6711,0.6719,25385.3,17037.47,0.6712,direct,,
3,1644077340,0.6721,0.6719,0.6721,3642.06,2448.03,0.6719,direct,,
4,1644077280,0.6721,0.6716,0.6717,15732.13,10570.27,0.6721,direct,,
5,1644077220,0.6723,0.6716,0.6723,46391.79,31162.12,0.6717,direct,,
6,1644077160,0.6726,0.6723,0.6726,70183.04,47182.57,0.6723,direct,,
7,1644077100,0.6729,0.6724,0.6726,30915.41,20792.74,0.6726,direct,,
8,1644077040,0.6748,0.6725,0.6748,120672.7,81216.41,0.6726,direct,,
9,1644076980,0.6753,0.6746,0.6752,44690.22,30165.98,0.6748,direct,,
10,1644076920,0.6755,0.6741,0.6741,135747.94,91704.54,0.6752,direct,,
11,1644076860,0.6746,0.6738,0.6743,46635.21,31432.95,0.6741,direct,,
12,1644076800,0.6751,0.6741,0.6741,293775.53,198251.26,0.6743,direct,,
13,1644076740,0.6741,0.6738,0.6738,3118.51,2101.61,0.6741,direct,,
14,1644076680,0.6738,0.673,0.673,14350.06,9669.17,0.6738,direct,,
15,1644076620,0.6732,0.6727,0.6727,43708.44,29418.34,0.673,direct,,
16,1644076560,0.6727,0.6726,0.6726,11379.89,7656.29,0.6727,direct,,
17,1644076500,0.6727,0.6725,0.6727,16972.41,11414.41,0.6726,direct,,
18,1644076440,0.673,0.6725,0.6727,421136.3,282985.91,0.6727,direct,,
19,1644076380,0.6727,0.6726,0.6727,37486.09,25210.0,0.6727,direct,,
20,1644076320,0.6731,0.6726,0.6731,15904.4,10696.79,0.6727,direct,,
21,1644076260,0.6735,0.6725,0.6735,48279.39,32481.14,0.6731,direct,,
22,1644076200,0.6739,0.6735,0.6737,176547.14,118926.18,0.6735,direct,,
23,1644076140,0.674,0.6737,0.6739,25054.29,16881.3,0.6737,direct,,
24,1644076080,0.6741,0.6739,0.6741,3250.35,2190.18,0.6739,direct,,
25,1644076020,0.6744,0.6741,0.6743,3873.0,2610.64,0.6741,direct,,
26,1644075960,0.6745,0.6739,0.6739,43534.6,29350.74,0.6743,direct,,
27,1644075900,0.6752,0.6737,0.6752,65993.17,44473.5,0.6739,direct,,
28,1644075840,0.6753,0.6751,0.6752,18545.49,12525.06,0.6752,direct,,
29,1644075780,0.6752,0.6745,0.6745,9140.25,6171.21,0.6752,direct,,
30,1644075720,0.6746,0.6745,0.6746,13629.29,9194.92,0.6745,direct,,
31,1644075660,0.6755,0.6742,0.6755,90756.82,61224.53,0.6746,direct,,
32,1644075600,0.6755,0.675,0.675,135820.62,91738.37,0.6755,direct,,
33,1644075540,0.6751,0.6749,0.6751,60025.92,40533.35,0.675,direct,,
34,1644075480,0.6751,0.6747,0.6748,163569.88,110495.52,0.6751,direct,,
35,1644075420,0.6748,0.6743,0.6743,33622.85,22682.95,0.6748,direct,,
36,1644075360,0.6747,0.6743,0.6743,54564.41,36805.03,0.6743,direct,,
37,1644075300,0.6744,0.6742,0.6744,10086.79,6800.69,0.6743,direct,,
38,1644075240,0.6748,0.6744,0.6745,5938.66,4004.96,0.6744,direct,,
39,1644075180,0.6748,0.6745,0.6745,24502.32,16532.46,0.6745,direct,,
40,1644075120,0.6745,0.6739,0.674,7813.7,5266.46,0.6745,direct,,
41,1644075060,0.6744,0.674,0.674,15683.83,10577.14,0.674,direct,,
42,1644075000,0.674,0.6732,0.6732,34546.03,23278.99,0.674,direct,,
43,1644074940,0.6732,0.6726,0.6726,9622.92,6478.63,0.6732,direct,,
44,1644074880,0.6726,0.6725,0.6726,25757.67,17321.06,0.6726,direct,,
45,1644074820,0.6726,0.6723,0.6724,9416.85,6328.1,0.6726,direct,,
