,CoinInfo.Id,Symbol,Name,NetHashesPerSecond,BlockNumber,BlockTime,BlockReward,TotalCoinsMined,AssetLaunchDate,MaxSupply,Price.USD
0,1182,BTC,Bitcoin,203650592238966300000,719680,524.0,6.25,18873906.0,2009-01-03,20999999.9769,41627.15
1,7605,ETH,Ethereum,978606978397459.4,14044972,13.248264412918804,2.1619012188455313,118350847.124,2015-07-30,-1.0,3110.44
9,4432,DOGE,Dogecoin,416968108670976,4070698,64.0,10000.0,132879476383.70522,2013-12-06,-1.0,0.159
8,3808,LTC,Litecoin,366650691750010,2196805,152.0,12.52204542,69458108.23347135,2011-10-13,84000000.0,135.54
5,5038,XMR,Monero,3239447427,2541623,117.0,0.738662327034,18066068.75145888,2014-04-18,-1.0,195.03
2,5031,XRP,XRP,0,69147262,0.0,0.0,99989813031.0,2013-01-01,100000000000.0,0.7382
3,171986,USDT,Tether,0,0,0.0,0.0,78324566140.5742,2014-10-06,-1.0,1.0
4,321992,ADA,Cardano,0,6781195,0.0,0.0,32976021428.799534,2017-10-05,45000000000.0,1.309
6,4614,XLM,Stellar,0,39271830,0.0,0.0,50001802300.835266,2014-07-31,-1.0,0.2403
7,932135,BUSD,BUSD,0,0,0.0,0.0,14338400982.02,2019-09-10,-1.0,0.9997
