,Symbol,Date,Neutral,Positive,Negative,sentiment_score
0,BTC,2022-02-01,26,49,29,0.288
1,BTC,2022-01-31,26,36,29,0.115
2,BTC,2022-01-30,23,20,15,0.129
3,BTC,2022-01-29,25,11,10,0.033
4,BTC,2022-01-28,42,25,31,-0.092
5,BTC,2022-01-27,22,31,49,-0.265
6,BTC,2022-01-26,45,43,42,0.012
7,BTC,2022-01-25,32,44,47,-0.037
8,BTC,2022-01-24,47,24,58,-0.395
9,BTC,2022-01-23,14,14,25,-0.311
10,BTC,2022-01-22,9,10,42,-0.787
11,BTC,2022-01-21,34,26,76,-0.551
12,BTC,2022-01-20,35,41,34,0.095
13,BTC,2022-01-19,25,40,26,0.231
14,BTC,2022-01-18,19,38,27,0.196
15,BTC,2022-01-17,24,32,36,-0.065
16,BTC,2022-01-16,12,18,2,0.75
17,BTC,2022-01-15,12,22,8,0.5
18,BTC,2022-01-14,22,46,26,0.319
19,BTC,2022-01-13,29,50,14,0.581
20,BTC,2022-01-12,27,81,25,0.632
21,BTC,2022-01-11,32,60,32,0.339
22,BTC,2022-01-10,27,51,62,-0.118
23,BTC,2022-01-09,22,6,15,-0.314
24,BTC,2022-01-08,13,15,18,-0.098
25,BTC,2022-01-07,25,19,52,-0.516
26,BTC,2022-01-06,29,30,75,-0.504
27,BTC,2022-01-05,28,55,42,0.156
28,BTC,2022-01-04,29,41,21,0.33
29,BTC,2022-01-03,45,51,11,0.561
30,BTC,2022-01-02,12,20,9,0.402
31,BTC,2022-01-01,12,10,8,0.1
32,BTC,2021-12-31,22,27,16,0.254
33,BTC,2021-12-30,31,45,12,0.563
34,BTC,2021-12-29,47,24,25,-0.016
35,BTC,2021-12-28,29,9,39,-0.584
36,BTC,2021-12-27,27,42,11,0.581
37,BTC,2021-12-26,15,12,5,0.328
38,BTC,2021-12-25,13,11,6,0.25
39,BTC,2021-12-24,30,39,6,0.66
40,BTC,2021-12-23,34,39,11,0.5
41,BTC,2021-12-22,40,37,10,0.466
42,BTC,2021-12-21,44,54,6,0.692
43,BTC,2021-12-20,39,19,31,-0.202
44,BTC,2021-12-19,17,16,5,0.434
45,BTC,2021-12-18,16,17,10,0.244
46,BTC,2021-12-17,27,29,26,0.055
47,BTC,2021-12-16,35,33,15,0.325
48,BTC,2021-12-15,39,48,19,0.41
49,BTC,2021-12-14,40,27,23,0.067
50,BTC,2022-02-01,26,49,29,0.288
51,BTC,2022-01-31,26,36,29,0.115
52,BTC,2022-01-30,23,20,15,0.129
53,BTC,2022-01-29,25,11,10,0.033
54,BTC,2022-01-28,42,25,31,-0.092
55,BTC,2022-01-27,22,31,49,-0.265
56,BTC,2022-01-26,45,43,42,0.012
57,BTC,2022-01-25,32,44,47,-0.037
58,BTC,2022-01-24,47,24,58,-0.395
59,BTC,2022-01-23,14,14,25,-0.311
60,BTC,2022-01-22,9,10,42,-0.787
61,BTC,2022-01-21,34,26,76,-0.551
62,BTC,2022-01-20,35,41,34,0.095
63,BTC,2022-01-19,25,40,26,0.231
64,BTC,2022-01-18,19,38,27,0.196
65,BTC,2022-01-17,24,32,36,-0.065
66,BTC,2022-01-16,12,18,2,0.75
67,BTC,2022-01-15,12,22,8,0.5
68,BTC,2022-01-14,22,46,26,0.319
69,BTC,2022-01-13,29,50,14,0.581
70,BTC,2022-01-12,27,81,25,0.632
71,BTC,2022-01-11,32,60,32,0.339
72,BTC,2022-01-10,27,51,62,-0.118
73,BTC,2022-01-09,22,6,15,-0.314
74,BTC,2022-01-08,13,15,18,-0.098
75,BTC,2022-01-07,25,19,52,-0.516
76,BTC,2022-01-06,29,30,75,-0.504
77,BTC,2022-01-05,28,55,42,0.156
