,id,Coin_Name,Symbol,num_market_pairs,Launch_Date,Circulating_supply,Total_supply,cmc_rank,last_updated,Price,Volume_24h,Volume_change_24h,Percent_change_1h,Percent_change_24h,Percent_change_7d,Percent_change_30d,Percent_change_60d,Percent_change_90d,Market_cap,Market_cap_dominance,Fully_diluted_market_cap,Last_updated
0,1,Bitcoin,BTC,9121,2013-04-28 00:00:00,18943556.0,18943556.0,1,2022-01-30T01:04:00.000Z,37847.411468203056,17136087512.987509,-22.0866,-0.76988434,0.1302943,7.08284284,-19.63016369,-34.27352631,-38.59651851,716964558602.9468,41.6303,794795640832.26,2022-01-30 01:04:00
1,1027,Ethereum,ETH,5482,2015-08-07 00:00:00,119366263.9365,119366263.9365,2,2022-01-30T01:04:00.000Z,2571.6749904772037,11111822006.674192,-23.4318,-0.96817992,0.52274534,5.16817464,-30.57465641,-45.53972112,-40.48357526,306971235672.198,17.8302,306971235672.2,2022-01-30 01:04:00
2,825,Tether,USDT,27161,2015-02-25 00:00:00,78117427985.9358,80074893058.70424,3,2022-01-30T01:04:00.000Z,1.000297662992797,39176114799.60298,-22.5189,-0.02052755,-0.01800956,-0.00335829,-0.02463522,-0.05211056,0.0088235,78140680653.3397,4.5482,80098728391.02,2022-01-30 01:04:00
3,1839,BNB,BNB,663,2017-07-25 00:00:00,165116760.89,165116760.89,4,2022-01-30T01:04:00.000Z,385.21915115464077,1316812857.3864598,-16.623,-0.83637868,-0.70323888,5.17567375,-25.58907879,-38.74163829,-27.13604364,63606138471.449585,3.7022,63606138128.6,2022-01-30 01:04:00
4,3408,USD Coin,USDC,2895,2018-10-08 00:00:00,49682389801.915764,49682389801.915764,5,2022-01-30T01:04:00.000Z,0.9999581618383044,78120027078033.1,-4.2227,-0.03415088,0.02129898,-0.06835825,-0.02073111,0.01053332,0.05257234,49680311182.05781,2.8847,49680311182.06,2022-01-30 01:04:00
5,2010,Cardano,ADA,360,2017-10-01 00:00:00,33566368986.593,34027415098.893,6,2022-01-30T01:04:00.000Z,1.0534617570493108,902697562.6042631,-23.2975,-0.54047031,0.22286491,-3.78396318,-21.9042421,-33.00055426,-46.61635154,35360886050.38175,2.0532,47405779067.22,2022-01-30 01:04:00
6,5426,Solana,SOL,244,2020-04-10 00:00:00,315100943.1077854,511616946.142289,7,2022-01-30T01:04:00.000Z,94.32975718421756,1684547483.1445198,-22.0146,-1.55322413,1.72444555,-3.6810359,-45.35446444,-55.30863649,-54.94339541,29723395451.875347,1.7301,48260702300.93,2022-01-30 01:04:00
7,52,XRP,XRP,676,2013-08-04 00:00:00,47736918345.0,99989798601.0,8,2022-01-30T01:04:00.000Z,0.6128182010755435,955125565.8432006,-26.3267,-0.65011142,0.0261404,1.0861648,-26.6891194,-39.1639254,-45.65785629,29254052425.073013,1.6992,61281820107.55,2022-01-30 01:04:00
8,4172,Terra,LUNA,141,2019-07-26 00:00:00,400859892.89874643,818527990.914176,9,2022-01-30T01:04:00.000Z,50.466788135360446,2112721634.946363,-37.1165,-0.9119446,-1.17211831,-24.19596667,-40.68050741,-11.8124409,16.77766956,20230111286.884315,1.1747,41308478700.33,2022-01-30 01:04:00
9,74,Dogecoin,DOGE,444,2013-12-15 00:00:00,132670764299.89409,132670764299.89409,10,2022-01-30T01:04:00.000Z,0.14202056295879556,393167657.2931893,-21.0032,-0.63781727,-0.1254412,3.30850057,-17.21707341,-34.09172408,-49.4887773,18841976634.044636,1.0967,18841976634.04,2022-01-30 01:04:00
