,CoinName,CoinTag,Algorithm,Difficulty,BlockReward,BlockCount,ProfitRatio,AvgProfitRatio,Exchange,ExchangeRate,ExchangeVolume,IsBlockExplorerOnline,IsExchangeOnline,BlockTimeInSeconds,HealthStatus,Mining Methods
0,LitecoinCash,LCC,SHA-256,27213198.3,93.75,2663783,-47.41414378438746,-3.258074081917279,hitbtc,0.0,2629.0,True,True,75,Healthy,PoW/PoS
1,Peercoin,PPC,SHA-256,2785680030.0,55.172653449248,603094,124.6162473799233,127.54932972727046,Bittrex,1.511e-05,4078.3531153,True,True,600,Healthy,PoW
2,Einsteinium,EMC2,Scrypt,412.991655,2.0,4179295,-2.2421523774430296,-3.578737872863375,Bittrex,5.1e-07,351191.87264028,True,True,60,Healthy,PoW
3,Verge,XVG,Scrypt,5642.15907,50.0,5573387,-0.07185947768821865,-0.6906499502586316,Bittrex,3e-07,2206459.55224904,True,True,30,Healthy,PoW
4,Ethereum,ETH,EtHash,1.2544800587618452e+16,2.0,14044768,122.95145389890413,129.62854063742952,hitbtc,0.07483538,14548.838,True,True,15,Healthy,PoW
5,Bitcoin,BTC,SHA-256,24371874614346.0,6.25,719678,100.0,100.0,CoinWarz,42735.4416,21390.69690779,True,True,600,Healthy,PoW
6,Groestlcoin,GRS,Groestl,870636.68074843,5.0,3931765,-12.01663962572197,-12.124791708238545,Bittrex,1.426e-05,33732.0813005,True,True,60,Healthy,PoW
7,DigiByte,DGB,Scrypt,1987686.68082791,665.63977419,14393690,-28.134281379069947,-30.907994275010225,Bittrex,6.5e-07,10384065.8276096,True,True,15,Healthy,PoW
8,Monero,XMR,RandomX,389433667587.0,2.15,2541599,-5.327330805926889,-5.374551692624761,hitbtc,0.00475639,26129.856,True,True,120,Healthy,PoW/PoS
9,Monacoin,MONA,Lyra2REv2,4077987.85150788,25.0,2558072,-8.73401413029422,-8.815647744434395,Bittrex,2.015e-05,1608.66626823,True,True,90,Healthy,PoW
10,Dash,DASH,X11,124497945.34584,1.5533135,1608481,-8.957410380120034,-11.039035658264691,hitbtc,0.00305,5498.807,True,True,150,Healthy,PoW
11,Syscoin,SYS,SHA-256,1281163780849.18,80.04659537,1343218,-46.43795067719121,-46.81010095469707,Bittrex,2.718e-05,98429.47179805,True,True,60,Healthy,PoS
12,Dogecoin,DOGE,Scrypt,4466168.8685246,10000.0,4070650,67.95517433476775,50.45188315762147,Bittrex,3.83e-06,5136060.35592462,True,True,60,Healthy,PoW
13,BitcoinCash,BCH,SHA-256,210334796328.74,6.25,723720,103.07962058552718,104.18434717031553,Bittrex,0.00881052,146.26860975,True,True,600,Healthy,PoW
14,Zcash,ZEC,Equihash,60232245.8,2.5,1524906,25.28253301235399,24.799895389110706,hitbtc,0.00300836,3128.503,False,True,75,Unhealthy,PoW
15,Ravencoin,RVN,KawPow,71021.80741818,2500.0,2113233,17.291629217383676,13.805412841350945,Bittrex,2e-06,4858956.55981428,True,True,60,Healthy,PoW
16,Vertcoin,VTC,Verthash,80.04083872,25.0,1704733,28.324074482798533,30.37889583251087,Bittrex,8.55e-06,22345.51596349,True,True,150,Healthy,PoW/PoS
17,Feathercoin,FTC,NeoScrypt,30.0689309,40.0,4013635,-5.279442771007159,-5.278241953523712,Bittrex,2e-07,1059821.29998132,True,True,60,Healthy,PoW/PoS
18,Horizen,ZEN,Equihash,44385622.0,3.75,1076353,16.454699316512055,20.828428520991853,Bittrex,0.00120552,318.78074608,True,True,150,Healthy,PoW
19,Litecoin,LTC,Scrypt,12890495.93247,12.5,2196786,5.922614426477546,6.962509866840662,Bittrex,0.0032793,5244.37464362,True,True,150,Healthy,PoW
20,Ethereum-Classic,ETC,ETCHASH,311053961862262.0,3.2,14373589,57.04441671378324,59.5436030961831,Bittrex,0.00073609,644.17655384,True,True,15,Healthy,PoW/PoS
21,Florincoin,FLO,Scrypt,235.63808,1.5625,5222761,-0.9053036545429105,-1.2211517237939093,Bittrex,3.9e-07,16904.5039247,True,True,40,Healthy,PoW
22,Viacoin,VIA,Scrypt,282974.349,0.0390625,9834467,-30.632403494554914,-30.925128673608803,Bittrex,2.79e-06,45057.70232011,True,True,24,Healthy,PoW
