,id,name,year_established,country,has_trading_incentive,trust_score,trust_score_rank,trade_volume_24h_btc,trade_volume_24h_btc_normalized
0,binance,Binance,2017.0,Cayman Islands,0.0,10.0,1.0,319036.86374574155,319036.86374574155
1,okex,OKX,2013.0,Belize,0.0,10.0,2.0,107996.43902431626,107996.43902431626
2,gdax,Coinbase Exchange,2012.0,United States,0.0,10.0,3.0,87531.69269494193,87531.69269494193
3,crypto_com,Crypto.com Exchange,2019.0,Cayman Islands,0.0,10.0,4.0,72901.19393350222,72901.19393350222
4,kucoin,KuCoin,2014.0,Seychelles,0.0,10.0,5.0,53433.31400212807,53433.31400212807
5,ftx_spot,FTX,2019.0,Antigua and Barbuda,0.0,10.0,6.0,46371.539590186156,46371.539590186156
6,huobi,Huobi Global,2013.0,Seychelles,0.0,10.0,7.0,42408.52153781009,42408.52153781009
7,gate,Gate.io,,Hong Kong,0.0,10.0,8.0,28827.467634206012,28827.467634206012
8,kraken,Kraken,2011.0,United States,0.0,10.0,9.0,21661.31082098386,21661.31082098386
9,bitfinex,Bitfinex,2014.0,British Virgin Islands,0.0,10.0,10.0,19526.5624936666,19526.5624936666
10,binance_us,Binance US,2019.0,United States,0.0,10.0,11.0,9705.32016435389,9705.32016435389
11,coinsbit,Coinsbit,,Estonia,0.0,10.0,12.0,9581.522694396443,9581.522694396443
12,bybit_spot,Bybit (spot),2018.0,British Virgin Islands,0.0,10.0,13.0,7066.633363324965,7066.633363324965
13,gemini,Gemini,2014.0,United States,0.0,10.0,14.0,3671.177184925623,3671.177184925623
14,bitkub,Bitkub,2018.0,Thailand,0.0,10.0,15.0,2249.5219808239317,2249.5219808239317
15,bittrex,Bittrex,2014.0,United States,0.0,10.0,16.0,1983.5271599309447,1983.5271599309447
16,mxc,MEXC Global,2018.0,Seychelles,0.0,9.0,17.0,19235.375980898716,19235.375980898716
17,hoo,Hoo.com,2019.0,Cayman Islands,0.0,9.0,18.0,14483.216246834658,14483.216246834658
18,bitget,Bitget,2018.0,Singapore,0.0,9.0,19.0,10726.330520098281,10726.330520098281
19,bitstamp,Bitstamp,2013.0,United Kingdom,0.0,9.0,20.0,7808.3596353501,7808.3596353501
20,ftx_us,FTX.US,2020.0,United States,0.0,9.0,21.0,7037.011863893993,7037.011863893993
21,btcturk,BtcTurk PRO,2013.0,Turkey,0.0,9.0,22.0,5551.272563335185,5551.272563335185
22,exmo,EXMO,2013.0,United Kingdom,0.0,9.0,23.0,1547.0674223454146,1547.0674223454146
23,bitbank,Bitbank,2016.0,Japan,0.0,9.0,24.0,1454.7314968956296,1454.7314968956296
24,blockchain_com,Blockchain.com,2012.0,United Kingdom,0.0,9.0,25.0,1322.8594772270683,1322.8594772270683
25,bitso,Bitso,2014.0,Mexico,0.0,9.0,26.0,580.1240563217134,580.1240563217134
26,digifinex,Digifinex,2018.0,Seychelles,0.0,8.0,27.0,41389.866368980336,41389.866368980336
27,bitrue,Bitrue,2018.0,Singapore,0.0,8.0,28.0,32568.05225246153,32568.05225246153
28,xt,XT.COM,2018.0,Seychelles,0.0,8.0,29.0,26854.43816905449,26854.43816905449
29,lbank,LBank,2017.0,China,0.0,8.0,30.0,26214.076688625923,26214.076688625923
30,whitebit,WhiteBIT,2018.0,Estonia,0.0,8.0,31.0,19102.001107515527,19102.001107515527
31,bigone,BigONE,2017.0,Seychelles,0.0,8.0,32.0,17465.39616555282,17465.39616555282
32,bithumb,Bithumb,2014.0,South Korea,0.0,8.0,33.0,15614.086514516224,15614.086514516224
33,zb,ZB,2017.0,China,0.0,8.0,34.0,13520.35227389184,13520.35227389184
34,bibox,Bibox,2017.0,China,0.0,8.0,35.0,12422.270669439487,12422.270669439487
35,bitmart,BitMart,2017.0,Cayman Islands,0.0,8.0,36.0,9673.859878019059,9673.859878019059
36,goku,GokuMarket,2019.0,Hong Kong,0.0,8.0,37.0,9345.176269611331,9345.176269611331
37,bitflyer,bitFlyer,2014.0,Japan,0.0,8.0,38.0,4543.827752334398,4543.827752334398
38,btse,BTSE,2018.0,British Virgin Islands,0.0,8.0,39.0,4296.954837834286,4296.954837834286
39,latoken,LATOKEN,2017.0,Cayman Islands,0.0,8.0,40.0,3970.9354707053003,3970.9354707053003
40,bitmax,AscendEX (BitMax),2018.0,Singapore,0.0,8.0,41.0,3129.3689861382654,3129.3689861382654
41,decoin,Decoin,2017.0,Estonia,0.0,8.0,42.0,2034.0804398162977,2034.0804398162977
42,poloniex,Poloniex,2014.0,Seychelles,0.0,8.0,43.0,1794.1712117019101,1794.1712117019101
43,coinex,CoinEx,2017.0,United Kingdom,0.0,8.0,44.0,1696.9569689633308,1696.9569689633308
44,kickex,KickEX,2020.0,Estonia,0.0,8.0,45.0,1146.2966333919524,1146.2966333919524
45,indodax,Indodax,2014.0,Indonesia,0.0,8.0,46.0,820.4580588341461,820.4580588341461
46,nominex,Nominex,2019.0,Seychelles,0.0,8.0,47.0,629.211000153027,629.211000153027
47,okcoin,Okcoin,2013.0,United States,0.0,8.0,48.0,505.52057418098605,505.52057418098605
48,max_maicoin,Max Maicoin,,Taiwan,0.0,8.0,49.0,301.24979626181033,301.24979626181033
49,bitopro,BitoPro,2018.0,Taiwan,0.0,8.0,50.0,145.47178043489438,145.47178043489438
50,coin_metro,CoinMetro,2018.0,Estonia,0.0,8.0,51.0,89.93549751988593,89.93549751988593
51,kuna,Kuna Exchange,,United Kingdom,0.0,8.0,52.0,54.51092820892608,54.51092820892608
52,nice_hash,NiceHash,,Slovenia,0.0,8.0,53.0,42.72579120474395,42.72579120474395
53,upbit,Upbit,2017.0,South Korea,0.0,7.0,54.0,58801.818624666,58801.818624666
54,bkex,BKEX,2018.0,British Virgin Islands,0.0,7.0,55.0,18473.473747271884,18473.473747271884
55,bitforex,Bitforex,2018.0,Seychelles,0.0,7.0,56.0,13399.935279312513,13399.935279312513
56,currency,Currency.com,2019.0,Gibraltar,0.0,7.0,57.0,12283.742022507304,12283.742022507304
57,aax,AAX,2019.0,Seychelles,0.0,7.0,58.0,10437.539213118163,10437.539213118163
58,p2pb2b,P2PB2B,2018.0,Estonia,0.0,7.0,59.0,9742.852593592428,9742.852593592428
59,coinflex,CoinFLEX,2019.0,Seychelles,0.0,7.0,60.0,78707.52360818807,9189.167923480536
60,hotbit,Hotbit,,Estonia,0.0,7.0,61.0,9184.706734064912,9184.706734064912
61,phemex,Phemex,2019.0,Singapore,0.0,7.0,62.0,6631.707404981275,6631.707404981275
62,dextrade,Dex-Trade,2019.0,Belize,0.0,7.0,63.0,5539.376108542126,5539.376108542126
63,cointiger,CoinTiger,2017.0,Singapore,0.0,7.0,64.0,3883.34256434876,3883.34256434876
64,coinone,Coinone,2016.0,South Korea,0.0,7.0,65.0,3249.039321946665,3249.039321946665
65,paribu,Paribu,,Turkey,,7.0,66.0,2919.6092139184548,2919.6092139184548
66,oceanex,Oceanex,2018.0,Cayman Islands,0.0,7.0,67.0,1619.35235637977,1619.35235637977
67,wazirx,WazirX,2018.0,India,0.0,7.0,68.0,1442.4852698425098,1442.4852698425098
68,tokenize,Tokenize,2018.0,Singapore,0.0,7.0,69.0,954.8990959757027,954.8990959757027
69,alterdice,AlterDice,2018.0,Singapore,0.0,7.0,70.0,820.1708662960558,820.1708662960558
70,cryptology,Cryptology,2018.0,Estonia,0.0,7.0,71.0,800.0287146853814,800.0287146853814
71,emirex,Emirex,2019.0,Estonia,0.0,7.0,72.0,695.8051610085744,695.8051610085744
72,luno,Luno,2013.0,Singapore,0.0,7.0,73.0,656.1727834615232,656.1727834615232
73,etorox,eToroX,2019.0,Gibraltar,0.0,7.0,74.0,588.7607894459613,588.7607894459613
74,cex,CEX.IO,2013.0,United Kingdom,0.0,7.0,75.0,483.109131575851,483.109131575851
75,b2bx,B2BX,2017.0,Estonia,0.0,7.0,76.0,392.73694766616615,374.5297020954647
76,independent_reserve,Independent Reserve,2013.0,Australia,0.0,7.0,77.0,264.70711238411195,264.70711238411195
77,bitpanda,Bitpanda Pro,2019.0,Austria,0.0,7.0,78.0,254.9278992946497,254.9278992946497
78,maiar,Maiar,2021.0,Elrond,0.0,7.0,79.0,232.0753087749161,232.0753087749161
79,korbit,Korbit,2013.0,South Korea,0.0,7.0,80.0,218.04889385152006,218.04889385152006
80,mercado_bitcoin,Mercado Bitcoin,2016.0,Brazil,0.0,7.0,81.0,99.74954591106619,99.74954591106619
81,zaif,Zaif,2015.0,Japan,,7.0,82.0,99.40457754927705,99.40457754927705
82,narkasa,Narkasa,2020.0,Turkey,0.0,7.0,83.0,41.06356278050048,41.06356278050048
83,coindeal,Coindeal,2018.0,Malta,0.0,7.0,84.0,22.61010936993573,22.61010936993573
84,cybex,Cybex DEX,2017.0,United States,0.0,7.0,85.0,0.23226228448198402,0.23226228448198402
85,hitbtc,HitBTC,2013.0,DEX,0.0,6.0,86.0,97181.12127295796,87898.30922861787
86,uniswap,Uniswap (v3),2018.0,United States,0.0,6.0,87.0,32324.761901695972,32324.761901695972
87,bitcoin_com,FMFW.io,2019.0,Bahamas,0.0,6.0,88.0,75687.38993760626,19519.229556607614
88,pancakeswap_new,PancakeSwap (v2),2020.0,DEX,0.0,6.0,89.0,12325.400011042675,12325.400011042675
89,traderjoe,Trader Joe,,DEX,0.0,6.0,90.0,5858.348363993512,5858.348363993512
90,uniswap_v2,Uniswap (v2),2018.0,United States,0.0,6.0,91.0,5746.8440567348425,5746.8440567348425
91,exmarkets,ExMarkets,2018.0,British Virgin Islands,0.0,6.0,92.0,5210.547808711623,5210.547808711623
92,probit,ProBit Global,2017.0,Seychelles,0.0,6.0,93.0,4214.664148951534,4214.664148951534
93,sushiswap,Sushiswap,2020.0,DEX,0.0,6.0,94.0,3992.363492837919,3992.363492837919
94,bitvavo,Bitvavo,2018.0,Netherlands,0.0,6.0,95.0,3588.7192449113677,3588.7192449113677
95,tokpie,Tokpie,2018.0,Hong Kong,0.0,6.0,96.0,2847.9607833699097,2847.9607833699097
96,osmosis,Osmosis,2021.0,DEX,0.0,6.0,97.0,2445.9325114798116,2445.9325114798116
97,biswap,Biswap,,DEX,0.0,6.0,98.0,2216.9320024732083,2216.9320024732083
98,bitexen,Bitexen,2018.0,Turkey,0.0,6.0,99.0,1929.544588410441,1929.544588410441
99,quoine,Liquid,2014.0,Japan,0.0,6.0,100.0,1836.7480018624826,1836.7480018624826
